scenario,n_cal,repetition,method,class_id,test_count,coverage,threshold,threshold_is_infinite,rank,own_calibration_count,pooled_calibration_count,selected_radius,certified_epsilon,planned_pooled_support,selection_objective,structural_count,dkw_radius
strong_smoothness,200,0,independent_mondrian,0,29940,0.9111222444889779,0.7669602972250423,0,62,67,67,0,0.0,59.48,0.016534391534391537,14870,0.013347456135563361
strong_smoothness,200,0,independent_mondrian,1,25006,0.9078621130928577,0.7698758905163674,0,44,47,47,0,0.0,50.1,0.019569471624266144,12525,0.014543372212499371
strong_smoothness,200,0,independent_mondrian,2,22022,0.8956043956043956,0.7593118919314533,0,36,38,38,0,0.0,44.104,0.022170982617949628,11026,0.015500474481991832
strong_smoothness,200,0,independent_mondrian,3,20098,0.9281520549308389,0.8070836590177823,0,39,42,42,0,0.0,40.48,0.024108003857280617,10120,0.01617944910823756
strong_smoothness,200,0,independent_mondrian,4,2934,1.0,,1,,6,6,0,0.0,5.836,0.1462843768285547,1459,0.04261145272748017
strong_smoothness,200,0,fixed_ordinal_pooling_h1,0,29940,0.910688042752171,0.766370999815491,0,104,67,114,0,0.0,59.48,0.016534391534391537,14870,0.013347456135563361
strong_smoothness,200,0,fixed_ordinal_pooling_h1,1,25006,0.8984643685515477,0.7593118919314533,0,138,47,152,0,0.0,50.1,0.019569471624266144,12525,0.014543372212499371
strong_smoothness,200,0,fixed_ordinal_pooling_h1,2,22022,0.902279538643175,0.7662099961787201,0,116,38,127,0,0.0,44.104,0.022170982617949628,11026,0.015500474481991832
strong_smoothness,200,0,fixed_ordinal_pooling_h1,3,20098,0.9031246890237835,0.7737872613382468,0,79,42,86,0,0.0,40.48,0.024108003857280617,10120,0.01617944910823756
strong_smoothness,200,0,fixed_ordinal_pooling_h1,4,2934,0.9331970006816632,0.8222378134692335,0,45,6,48,0,0.0,5.836,0.1462843768285547,1459,0.04261145272748017
strong_smoothness,200,0,adaptive_approximate,0,29940,0.9111222444889779,0.7669602972250423,0,62,67,67,0,0.0,59.48,0.016534391534391537,14870,0.013347456135563361
strong_smoothness,200,0,adaptive_approximate,1,25006,0.9078621130928577,0.7698758905163674,0,44,47,47,0,0.0,50.1,0.019569471624266144,12525,0.014543372212499371
strong_smoothness,200,0,adaptive_approximate,2,22022,0.8956043956043956,0.7593118919314533,0,36,38,38,0,0.0,44.104,0.022170982617949628,11026,0.015500474481991832
strong_smoothness,200,0,adaptive_approximate,3,20098,0.9281520549308389,0.8070836590177823,0,39,42,42,0,0.0,40.48,0.024108003857280617,10120,0.01617944910823756
strong_smoothness,200,0,adaptive_approximate,4,2934,1.0,,1,,6,6,0,0.0,5.836,0.1462843768285547,1459,0.04261145272748017
strong_smoothness,200,0,adaptive_certified_v0_3,0,29940,0.9111222444889779,0.7669602972250423,0,62,67,67,0,0.0,59.48,0.016534391534391537,14870,0.013347456135563361
strong_smoothness,200,0,adaptive_certified_v0_3,1,25006,0.9078621130928577,0.7698758905163674,0,44,47,47,0,0.0,50.1,0.019569471624266144,12525,0.014543372212499371
strong_smoothness,200,0,adaptive_certified_v0_3,2,22022,0.8956043956043956,0.7593118919314533,0,36,38,38,0,0.0,44.104,0.022170982617949628,11026,0.015500474481991832
strong_smoothness,200,0,adaptive_certified_v0_3,3,20098,0.9281520549308389,0.8070836590177823,0,39,42,42,0,0.0,40.48,0.024108003857280617,10120,0.01617944910823756
strong_smoothness,200,0,adaptive_certified_v0_3,4,2934,1.0,,1,,6,6,0,0.0,5.836,0.1462843768285547,1459,0.04261145272748017
strong_smoothness,200,1,independent_mondrian,0,30135,0.8671312427409988,0.7222944144159893,0,62,67,67,0,0.0,59.599999999999994,0.016501650165016504,14900,0.01333401232875878
strong_smoothness,200,1,independent_mondrian,1,24781,0.9297849158629595,0.8041183631776838,0,40,43,43,0,0.0,50.263999999999996,0.01950686641697878,12566,0.014519626969944263
strong_smoothness,200,1,independent_mondrian,2,22070,0.8988219302220208,0.7633558068058339,0,45,49,49,0,0.0,43.303999999999995,0.022571325388226798,10826,0.01564299747388721
strong_smoothness,200,1,independent_mondrian,3,19970,0.9240360540811217,0.8034898830308517,0,34,36,36,0,0.0,40.699999999999996,0.023980815347721826,10175,0.016135661614936844
strong_smoothness,200,1,independent_mondrian,4,3044,1.0,,1,,5,5,1,0.08112987402745384,46.831999999999994,0.10203638013215362,1533,0.041570276111868344
strong_smoothness,200,1,fixed_ordinal_pooling_h1,0,30135,0.8861788617886179,0.7414933215529014,0,100,67,110,0,0.0,59.599999999999994,0.016501650165016504,14900,0.01333401232875878
strong_smoothness,200,1,fixed_ordinal_pooling_h1,1,24781,0.8796255195512691,0.7414933215529014,0,144,43,159,0,0.0,50.263999999999996,0.01950686641697878,12566,0.014519626969944263
strong_smoothness,200,1,fixed_ordinal_pooling_h1,2,22070,0.9001359311282283,0.765150483636285,0,117,49,128,0,0.0,43.303999999999995,0.022571325388226798,10826,0.01564299747388721
strong_smoothness,200,1,fixed_ordinal_pooling_h1,3,19970,0.8915373059589384,0.7633558068058339,0,82,36,90,0,0.0,40.699999999999996,0.023980815347721826,10175,0.016135661614936844
strong_smoothness,200,1,fixed_ordinal_pooling_h1,4,3044,0.9096583442838371,0.7888955649328426,0,38,5,41,1,0.08112987402745384,46.831999999999994,0.10203638013215362,1533,0.041570276111868344
strong_smoothness,200,1,adaptive_approximate,0,30135,0.8671312427409988,0.7222944144159893,0,62,67,67,0,0.0,59.599999999999994,0.016501650165016504,14900,0.01333401232875878
strong_smoothness,200,1,adaptive_approximate,1,24781,0.9297849158629595,0.8041183631776838,0,40,43,43,0,0.0,50.263999999999996,0.01950686641697878,12566,0.014519626969944263
strong_smoothness,200,1,adaptive_approximate,2,22070,0.8988219302220208,0.7633558068058339,0,45,49,49,0,0.0,43.303999999999995,0.022571325388226798,10826,0.01564299747388721
strong_smoothness,200,1,adaptive_approximate,3,19970,0.9240360540811217,0.8034898830308517,0,34,36,36,0,0.0,40.699999999999996,0.023980815347721826,10175,0.016135661614936844
strong_smoothness,200,1,adaptive_approximate,4,3044,0.9096583442838371,0.7888955649328426,0,38,5,41,1,0.08112987402745384,46.831999999999994,0.10203638013215362,1533,0.041570276111868344
strong_smoothness,200,1,adaptive_certified_v0_3,0,30135,0.8671312427409988,0.7222944144159893,0,62,67,67,0,0.0,59.599999999999994,0.016501650165016504,14900,0.01333401232875878
strong_smoothness,200,1,adaptive_certified_v0_3,1,24781,0.9297849158629595,0.8041183631776838,0,40,43,43,0,0.0,50.263999999999996,0.01950686641697878,12566,0.014519626969944263
strong_smoothness,200,1,adaptive_certified_v0_3,2,22070,0.8988219302220208,0.7633558068058339,0,45,49,49,0,0.0,43.303999999999995,0.022571325388226798,10826,0.01564299747388721
strong_smoothness,200,1,adaptive_certified_v0_3,3,19970,0.9240360540811217,0.8034898830308517,0,34,36,36,0,0.0,40.699999999999996,0.023980815347721826,10175,0.016135661614936844
strong_smoothness,200,1,adaptive_certified_v0_3,4,3044,1.0,,1,,5,41,1,0.08112987402745384,46.831999999999994,0.10203638013215362,1533,0.041570276111868344
strong_smoothness,200,2,independent_mondrian,0,29928,0.9067094359796846,0.7652352766578452,0,54,58,58,0,0.0,60.660000000000004,0.01621796951021732,15165,0.013216996628818005
strong_smoothness,200,2,independent_mondrian,1,24933,0.9222716881241728,0.7885622132056231,0,45,49,49,0,0.0,49.824,0.01967574374311349,12456,0.014583598079826503
strong_smoothness,200,2,independent_mondrian,2,22103,0.9323168800615301,0.8076589521727261,0,45,48,48,0,0.0,43.976,0.022234080398434723,10994,0.01552301654004915
strong_smoothness,200,2,independent_mondrian,3,20049,0.9634894508454287,0.8751702253483167,0,36,38,38,0,0.0,39.728,0.024553132979768216,9932,0.01633185934944673
strong_smoothness,200,2,independent_mondrian,4,2987,1.0,,1,,7,7,2,0.08954990083748512,89.51599999999999,0.10059767139738614,1453,0.042699341688635206
strong_smoothness,200,2,fixed_ordinal_pooling_h1,0,29928,0.9236835070836674,0.7877233633243548,0,98,58,107,0,0.0,60.660000000000004,0.01621796951021732,15165,0.013216996628818005
strong_smoothness,200,2,fixed_ordinal_pooling_h1,1,24933,0.9218305057554246,0.7877233633243548,0,141,49,155,0,0.0,49.824,0.01967574374311349,12456,0.014583598079826503
strong_smoothness,200,2,fixed_ordinal_pooling_h1,2,22103,0.9323168800615301,0.8076589521727261,0,123,48,135,0,0.0,43.976,0.022234080398434723,10994,0.01552301654004915
strong_smoothness,200,2,fixed_ordinal_pooling_h1,3,20049,0.9273779240859893,0.8076589521727261,0,85,38,93,0,0.0,39.728,0.024553132979768216,9932,0.01633185934944673
strong_smoothness,200,2,fixed_ordinal_pooling_h1,4,2987,0.9621694007365249,0.8716290149612623,0,42,7,45,2,0.08954990083748512,89.51599999999999,0.10059767139738614,1453,0.042699341688635206
strong_smoothness,200,2,adaptive_approximate,0,29928,0.9067094359796846,0.7652352766578452,0,54,58,58,0,0.0,60.660000000000004,0.01621796951021732,15165,0.013216996628818005
strong_smoothness,200,2,adaptive_approximate,1,24933,0.9222716881241728,0.7885622132056231,0,45,49,49,0,0.0,49.824,0.01967574374311349,12456,0.014583598079826503
strong_smoothness,200,2,adaptive_approximate,2,22103,0.9323168800615301,0.8076589521727261,0,45,48,48,0,0.0,43.976,0.022234080398434723,10994,0.01552301654004915
strong_smoothness,200,2,adaptive_approximate,3,20049,0.9634894508454287,0.8751702253483167,0,36,38,38,0,0.0,39.728,0.024553132979768216,9932,0.01633185934944673
