scenario,n_cal,method,class_id,radius_0_rate,radius_1_rate,radius_2_rate
local_discontinuity,200,adaptive_approximate,0,1,0,0
local_discontinuity,200,adaptive_approximate,1,1,0,0
local_discontinuity,200,adaptive_approximate,2,1,0,0
local_discontinuity,200,adaptive_approximate,3,1,0,0
local_discontinuity,200,adaptive_approximate,4,0.06,0.94,0
local_discontinuity,200,adaptive_certified_v0_3,0,1,0,0
local_discontinuity,200,adaptive_certified_v0_3,1,1,0,0
local_discontinuity,200,adaptive_certified_v0_3,2,1,0,0
local_discontinuity,200,adaptive_certified_v0_3,3,1,0,0
local_discontinuity,200,adaptive_certified_v0_3,4,0.06,0.94,0
local_discontinuity,400,adaptive_approximate,0,1,0,0
local_discontinuity,400,adaptive_approximate,1,1,0,0
local_discontinuity,400,adaptive_approximate,2,1,0,0
local_discontinuity,400,adaptive_approximate,3,1,0,0
local_discontinuity,400,adaptive_approximate,4,1,0,0
local_discontinuity,400,adaptive_certified_v0_3,0,1,0,0
local_discontinuity,400,adaptive_certified_v0_3,1,1,0,0
local_discontinuity,400,adaptive_certified_v0_3,2,1,0,0
local_discontinuity,400,adaptive_certified_v0_3,3,1,0,0
local_discontinuity,400,adaptive_certified_v0_3,4,1,0,0
local_discontinuity,800,adaptive_approximate,0,1,0,0
local_discontinuity,800,adaptive_approximate,1,1,0,0
local_discontinuity,800,adaptive_approximate,2,1,0,0
local_discontinuity,800,adaptive_approximate,3,1,0,0
local_discontinuity,800,adaptive_approximate,4,1,0,0
local_discontinuity,800,adaptive_certified_v0_3,0,1,0,0
local_discontinuity,800,adaptive_certified_v0_3,1,1,0,0
local_discontinuity,800,adaptive_certified_v0_3,2,1,0,0
local_discontinuity,800,adaptive_certified_v0_3,3,1,0,0
local_discontinuity,800,adaptive_certified_v0_3,4,1,0,0
local_discontinuity,1600,adaptive_approximate,0,1,0,0
local_discontinuity,1600,adaptive_approximate,1,1,0,0
local_discontinuity,1600,adaptive_approximate,2,1,0,0
local_discontinuity,1600,adaptive_approximate,3,1,0,0
local_discontinuity,1600,adaptive_approximate,4,1,0,0
local_discontinuity,1600,adaptive_certified_v0_3,0,1,0,0
local_discontinuity,1600,adaptive_certified_v0_3,1,1,0,0
local_discontinuity,1600,adaptive_certified_v0_3,2,1,0,0
local_discontinuity,1600,adaptive_certified_v0_3,3,1,0,0
local_discontinuity,1600,adaptive_certified_v0_3,4,1,0,0
moderate_smoothness,200,adaptive_approximate,0,1,0,0
moderate_smoothness,200,adaptive_approximate,1,1,0,0
moderate_smoothness,200,adaptive_approximate,2,1,0,0
moderate_smoothness,200,adaptive_approximate,3,1,0,0
moderate_smoothness,200,adaptive_approximate,4,1,0,0
moderate_smoothness,200,adaptive_certified_v0_3,0,1,0,0
moderate_smoothness,200,adaptive_certified_v0_3,1,1,0,0
moderate_smoothness,200,adaptive_certified_v0_3,2,1,0,0
moderate_smoothness,200,adaptive_certified_v0_3,3,1,0,0
moderate_smoothness,200,adaptive_certified_v0_3,4,1,0,0
moderate_smoothness,400,adaptive_approximate,0,1,0,0
moderate_smoothness,400,adaptive_approximate,1,1,0,0
moderate_smoothness,400,adaptive_approximate,2,1,0,0
moderate_smoothness,400,adaptive_approximate,3,1,0,0
moderate_smoothness,400,adaptive_approximate,4,1,0,0
moderate_smoothness,400,adaptive_certified_v0_3,0,1,0,0
moderate_smoothness,400,adaptive_certified_v0_3,1,1,0,0
moderate_smoothness,400,adaptive_certified_v0_3,2,1,0,0
moderate_smoothness,400,adaptive_certified_v0_3,3,1,0,0
moderate_smoothness,400,adaptive_certified_v0_3,4,1,0,0
moderate_smoothness,800,adaptive_approximate,0,1,0,0
moderate_smoothness,800,adaptive_approximate,1,1,0,0
moderate_smoothness,800,adaptive_approximate,2,1,0,0
moderate_smoothness,800,adaptive_approximate,3,1,0,0
moderate_smoothness,800,adaptive_approximate,4,1,0,0
moderate_smoothness,800,adaptive_certified_v0_3,0,1,0,0
moderate_smoothness,800,adaptive_certified_v0_3,1,1,0,0
moderate_smoothness,800,adaptive_certified_v0_3,2,1,0,0
moderate_smoothness,800,adaptive_certified_v0_3,3,1,0,0
moderate_smoothness,800,adaptive_certified_v0_3,4,1,0,0
moderate_smoothness,1600,adaptive_approximate,0,1,0,0
moderate_smoothness,1600,adaptive_approximate,1,1,0,0
moderate_smoothness,1600,adaptive_approximate,2,1,0,0
moderate_smoothness,1600,adaptive_approximate,3,1,0,0
moderate_smoothness,1600,adaptive_approximate,4,1,0,0
moderate_smoothness,1600,adaptive_certified_v0_3,0,1,0,0
moderate_smoothness,1600,adaptive_certified_v0_3,1,1,0,0
moderate_smoothness,1600,adaptive_certified_v0_3,2,1,0,0
moderate_smoothness,1600,adaptive_certified_v0_3,3,1,0,0
moderate_smoothness,1600,adaptive_certified_v0_3,4,1,0,0
no_ordinal_structure,200,adaptive_approximate,0,1,0,0
no_ordinal_structure,200,adaptive_approximate,1,1,0,0
no_ordinal_structure,200,adaptive_approximate,2,1,0,0
no_ordinal_structure,200,adaptive_approximate,3,1,0,0
no_ordinal_structure,200,adaptive_approximate,4,1,0,0
no_ordinal_structure,200,adaptive_certified_v0_3,0,1,0,0
no_ordinal_structure,200,adaptive_certified_v0_3,1,1,0,0
no_ordinal_structure,200,adaptive_certified_v0_3,2,1,0,0
no_ordinal_structure,200,adaptive_certified_v0_3,3,1,0,0
no_ordinal_structure,200,adaptive_certified_v0_3,4,1,0,0
no_ordinal_structure,400,adaptive_approximate,0,1,0,0
no_ordinal_structure,400,adaptive_approximate,1,1,0,0
no_ordinal_structure,400,adaptive_approximate,2,1,0,0
no_ordinal_structure,400,adaptive_approximate,3,1,0,0
no_ordinal_structure,400,adaptive_approximate,4,1,0,0
no_ordinal_structure,400,adaptive_certified_v0_3,0,1,0,0
no_ordinal_structure,400,adaptive_certified_v0_3,1,1,0,0
no_ordinal_structure,400,adaptive_certified_v0_3,2,1,0,0
no_ordinal_structure,400,adaptive_certified_v0_3,3,1,0,0
no_ordinal_structure,400,adaptive_certified_v0_3,4,1,0,0
no_ordinal_structure,800,adaptive_approximate,0,1,0,0
no_ordinal_structure,800,adaptive_approximate,1,1,0,0
no_ordinal_structure,800,adaptive_approximate,2,1,0,0
no_ordinal_structure,800,adaptive_approximate,3,1,0,0
no_ordinal_structure,800,adaptive_approximate,4,1,0,0
no_ordinal_structure,800,adaptive_certified_v0_3,0,1,0,0
no_ordinal_structure,800,adaptive_certified_v0_3,1,1,0,0
no_ordinal_structure,800,adaptive_certified_v0_3,2,1,0,0
no_ordinal_structure,800,adaptive_certified_v0_3,3,1,0,0
no_ordinal_structure,800,adaptive_certified_v0_3,4,1,0,0
no_ordinal_structure,1600,adaptive_approximate,0,1,0,0
no_ordinal_structure,1600,adaptive_approximate,1,1,0,0
no_ordinal_structure,1600,adaptive_approximate,2,1,0,0
no_ordinal_structure,1600,adaptive_approximate,3,1,0,0
no_ordinal_structure,1600,adaptive_approximate,4,1,0,0
no_ordinal_structure,1600,adaptive_certified_v0_3,0,1,0,0
no_ordinal_structure,1600,adaptive_certified_v0_3,1,1,0,0
no_ordinal_structure,1600,adaptive_certified_v0_3,2,1,0,0
no_ordinal_structure,1600,adaptive_certified_v0_3,3,1,0,0
no_ordinal_structure,1600,adaptive_certified_v0_3,4,1,0,0
strong_smoothness,200,adaptive_approximate,0,1,0,0
strong_smoothness,200,adaptive_approximate,1,1,0,0
strong_smoothness,200,adaptive_approximate,2,1,0,0
strong_smoothness,200,adaptive_approximate,3,1,0,0
strong_smoothness,200,adaptive_approximate,4,0.04,0.42,0.54
strong_smoothness,200,adaptive_certified_v0_3,0,1,0,0
strong_smoothness,200,adaptive_certified_v0_3,1,1,0,0
strong_smoothness,200,adaptive_certified_v0_3,2,1,0,0
strong_smoothness,200,adaptive_certified_v0_3,3,1,0,0
strong_smoothness,200,adaptive_certified_v0_3,4,0.04,0.42,0.54
strong_smoothness,400,adaptive_approximate,0,1,0,0
strong_smoothness,400,adaptive_approximate,1,1,0,0
strong_smoothness,400,adaptive_approximate,2,1,0,0
strong_smoothness,400,adaptive_approximate,3,1,0,0
strong_smoothness,400,adaptive_approximate,4,0.99,0,0.01
strong_smoothness,400,adaptive_certified_v0_3,0,1,0,0
strong_smoothness,400,adaptive_certified_v0_3,1,1,0,0
strong_smoothness,400,adaptive_certified_v0_3,2,1,0,0
strong_smoothness,400,adaptive_certified_v0_3,3,1,0,0
strong_smoothness,400,adaptive_certified_v0_3,4,0.99,0,0.01
strong_smoothness,800,adaptive_approximate,0,1,0,0
strong_smoothness,800,adaptive_approximate,1,1,0,0
strong_smoothness,800,adaptive_approximate,2,1,0,0
strong_smoothness,800,adaptive_approximate,3,1,0,0
strong_smoothness,800,adaptive_approximate,4,1,0,0
