scenario,class_j,class_k,repetitions,true_ks,per_pair_certificate_coverage,mean_direct_certificate,mean_path_certificate,mean_final_certificate,simultaneous_certificate_coverage,structural_certificate_failures
local_discontinuity,0,1,400,0.009973297288075951,1,0.043710718377797525,0.043710718377797525,0.043710718377797525,,
local_discontinuity,0,2,400,0.019945036390476102,1,0.0539032409463675,0.09003841922426273,0.0539032409463675,,
local_discontinuity,0,3,400,0.5467452952462636,1,0.5780305172973979,0.6551076235630351,0.5780305172973979,,
local_discontinuity,0,4,400,0.5542383568540251,1,0.6144915686334986,0.7403237420213338,0.6144915686334986,,
local_discontinuity,1,2,400,0.009973297288075951,1,0.0463277008464652,0.0463277008464652,0.0463277008464652,,
local_discontinuity,1,3,400,0.5391816567928531,1,0.5714636001977162,0.6113969051852376,0.5714636001977162,,
local_discontinuity,1,4,400,0.5467452952462636,1,0.6079296897121175,0.6966130236435363,0.6079296897121175,,
local_discontinuity,2,3,400,0.5315479695746101,1,0.5650692043387724,0.5650692043387724,0.5650692043387724,,
local_discontinuity,2,4,400,0.5391816567928531,1,0.6015720640904842,0.6502853227970711,0.6015720640904842,,
local_discontinuity,3,4,400,0.009973297288075951,1,0.08521611845829867,0.08521611845829867,0.08521611845829867,,
moderate_smoothness,0,1,400,0.06972591456743077,1,0.10073074070487797,0.10073074070487797,0.10073074070487797,,
moderate_smoothness,0,2,400,0.13892036641534725,1,0.170355179421829,0.20407624678371464,0.170355179421829,,
moderate_smoothness,0,3,400,0.20706401464198906,1,0.23885676655059454,0.30974383054935184,0.23885676655059454,,
moderate_smoothness,0,4,400,0.27366130235123814,1,0.3342723560353486,0.4466867204210296,0.3342723560353486,,
moderate_smoothness,1,2,400,0.06972591456743056,1,0.10334550607883668,0.10334550607883668,0.10334550607883668,,
moderate_smoothness,1,3,400,0.13892036641534725,1,0.17275037026565515,0.20901308984447386,0.17275037026565515,,
moderate_smoothness,1,4,400,0.20706401464198906,1,0.2698528103764213,0.3459559797161516,0.2698528103764213,,
moderate_smoothness,2,3,400,0.06972591456743077,1,0.10566758376563719,0.10566758376563719,0.10566758376563719,,
moderate_smoothness,2,4,400,0.13892036641534747,1,0.20365054086576276,0.24261047363731492,0.20365054086576276,,
moderate_smoothness,3,4,400,0.06972591456743077,1,0.13694288987167774,0.13694288987167774,0.13694288987167774,,
no_ordinal_structure,0,1,400,0.8663855974622838,1,0.8952227311598604,0.8952227311598604,0.8952227311598604,,
no_ordinal_structure,0,2,400,0.07965567455405792,1,0.11251047211457878,1.0,0.11251047211457878,,
no_ordinal_structure,0,3,400,0.9198816862723658,1,0.950334649421013,1.0,0.950334649421013,,
no_ordinal_structure,0,4,400,0.19741265136584737,1,0.2600836119717884,1.0,0.2600836119717884,,
no_ordinal_structure,1,2,400,0.890401416600884,1,0.9215676758364241,0.9215676758364241,0.9215676758364241,,
no_ordinal_structure,1,3,400,0.19741265136584715,1,0.23070061390446656,1.0,0.23070061390446656,,
no_ordinal_structure,1,4,400,0.9198816862723658,1,0.9786032223464123,1.0,0.9786032223464123,,
no_ordinal_structure,2,3,400,0.9356864504087725,1,0.9684912287450834,0.9684912287450834,0.9684912287450834,,
no_ordinal_structure,2,4,400,0.119235384740485,1,0.18510099826955503,1.0,0.18510099826955503,,
no_ordinal_structure,3,4,400,0.9544997361036416,1,1.0,1.0,1.0,,
strong_smoothness,0,1,400,0.009973297288075951,1,0.04371366594847973,0.04371366594847973,0.04371366594847973,,
strong_smoothness,0,2,400,0.019945036390476102,1,0.05361057715277411,0.09001931735652449,0.05361057715277411,,
strong_smoothness,0,3,400,0.029913659851819575,1,0.06449128565717364,0.1390357834883673,0.06449128565717364,,
strong_smoothness,0,4,400,0.03987761167674496,1,0.10612155879330452,0.2234193370230274,0.10612155879330452,,
strong_smoothness,1,2,400,0.009973297288075951,1,0.04630565140804476,0.04630565140804476,0.04630565140804476,,
strong_smoothness,1,3,400,0.019945036390476102,1,0.05649510824121031,0.09532211753988756,0.05649510824121031,,
strong_smoothness,1,4,400,0.029913659851819575,1,0.09845669835164138,0.17970567107454768,0.09845669835164138,,
strong_smoothness,2,3,400,0.009973297288075951,1,0.0490164661318428,0.0490164661318428,0.0490164661318428,,
strong_smoothness,2,4,400,0.019945036390476102,1,0.09073040158422963,0.13340001966650292,0.09073040158422963,,
strong_smoothness,3,4,400,0.009973297288075951,1,0.08438355353466012,0.08438355353466012,0.08438355353466012,,
ALL,ALL,ALL,1600,,,,,,1.0,0
