scenario,n_cal,method,class_id,repetitions,mean_coverage,finite_threshold_rate,infinite_threshold_rate,mean_selected_radius,mean_certified_epsilon,mean_own_calibration_count,mean_pooled_calibration_count,mean_marginal_coverage,mean_worst_class_coverage
local_discontinuity,200,adaptive_approximate,0,100,0.907163556571162,1,0,0,0.0,59.53,59.53,,
local_discontinuity,200,adaptive_approximate,1,100,0.9068853592993895,1,0,0,0.0,49.95,49.95,,
local_discontinuity,200,adaptive_approximate,2,100,0.9086560433444154,1,0,0,0.0,43.97,43.97,,
local_discontinuity,200,adaptive_approximate,3,100,0.9202955334369878,1,0,0,0.0,40.71,40.71,,
local_discontinuity,200,adaptive_approximate,4,100,0.9168109163721159,0.95,0.05,0.94,0.07893441375792869,5.84,44.01,,
local_discontinuity,200,adaptive_certified_v0_3,0,100,0.907163556571162,1,0,0,0.0,59.53,59.53,,
local_discontinuity,200,adaptive_certified_v0_3,1,100,0.9068853592993895,1,0,0,0.0,49.95,49.95,,
local_discontinuity,200,adaptive_certified_v0_3,2,100,0.9086560433444154,1,0,0,0.0,43.97,43.97,,
local_discontinuity,200,adaptive_certified_v0_3,3,100,0.9202955334369878,1,0,0,0.0,40.71,40.71,,
local_discontinuity,200,adaptive_certified_v0_3,4,100,0.9936415466748021,0.25,0.75,0.94,0.07893441375792869,5.84,44.01,,
local_discontinuity,200,fixed_ordinal_pooling_h1,0,100,0.906246726064867,1,0,0,0.0,59.53,109.48,,
local_discontinuity,200,fixed_ordinal_pooling_h1,1,100,0.9012785917107627,1,0,0,0.0,49.95,153.45,,
local_discontinuity,200,fixed_ordinal_pooling_h1,2,100,0.9803068784689771,1,0,0,0.0,43.97,134.63,,
local_discontinuity,200,fixed_ordinal_pooling_h1,3,100,0.8260041432869462,1,0,0,0.0,40.71,90.52,,
local_discontinuity,200,fixed_ordinal_pooling_h1,4,100,0.9137097646911239,1,0,0.94,0.07893441375792869,5.84,46.55,,
local_discontinuity,200,independent_mondrian,0,100,0.907163556571162,1,0,0,0.0,59.53,59.53,,
local_discontinuity,200,independent_mondrian,1,100,0.9068853592993895,1,0,0,0.0,49.95,49.95,,
local_discontinuity,200,independent_mondrian,2,100,0.9086560433444154,1,0,0,0.0,43.97,43.97,,
local_discontinuity,200,independent_mondrian,3,100,0.9202955334369878,1,0,0,0.0,40.71,40.71,,
local_discontinuity,200,independent_mondrian,4,100,0.9845898271953288,0.14,0.86,0.94,0.07893441375792869,5.84,5.84,,
local_discontinuity,400,adaptive_approximate,0,100,0.9010363664351132,1,0,0,0.0,119.73,119.73,,
local_discontinuity,400,adaptive_approximate,1,100,0.9077946165332275,1,0,0,0.0,99.43,99.43,,
local_discontinuity,400,adaptive_approximate,2,100,0.9069292786735896,1,0,0,0.0,88.37,88.37,,
local_discontinuity,400,adaptive_approximate,3,100,0.909946153359416,1,0,0,0.0,80.08,80.08,,
local_discontinuity,400,adaptive_approximate,4,100,0.9348465490133298,0.83,0.17,0,0.0,12.39,12.39,,
local_discontinuity,400,adaptive_certified_v0_3,0,100,0.9010363664351132,1,0,0,0.0,119.73,119.73,,
local_discontinuity,400,adaptive_certified_v0_3,1,100,0.9077946165332275,1,0,0,0.0,99.43,99.43,,
local_discontinuity,400,adaptive_certified_v0_3,2,100,0.9069292786735896,1,0,0,0.0,88.37,88.37,,
local_discontinuity,400,adaptive_certified_v0_3,3,100,0.909946153359416,1,0,0,0.0,80.08,80.08,,
local_discontinuity,400,adaptive_certified_v0_3,4,100,0.9348465490133298,0.83,0.17,0,0.0,12.39,12.39,,
local_discontinuity,400,fixed_ordinal_pooling_h1,0,100,0.9044801452165548,1,0,0,0.0,119.73,219.16,,
local_discontinuity,400,fixed_ordinal_pooling_h1,1,100,0.9010684375223378,1,0,0,0.0,99.43,307.53,,
local_discontinuity,400,fixed_ordinal_pooling_h1,2,100,0.9793470301271299,1,0,0,0.0,88.37,267.88,,
local_discontinuity,400,fixed_ordinal_pooling_h1,3,100,0.8227123382551285,1,0,0,0.0,80.08,180.84,,
local_discontinuity,400,fixed_ordinal_pooling_h1,4,100,0.9045705195859448,1,0,0,0.0,12.39,92.47,,
local_discontinuity,400,independent_mondrian,0,100,0.9010363664351132,1,0,0,0.0,119.73,119.73,,
local_discontinuity,400,independent_mondrian,1,100,0.9077946165332275,1,0,0,0.0,99.43,99.43,,
local_discontinuity,400,independent_mondrian,2,100,0.9069292786735896,1,0,0,0.0,88.37,88.37,,
local_discontinuity,400,independent_mondrian,3,100,0.909946153359416,1,0,0,0.0,80.08,80.08,,
local_discontinuity,400,independent_mondrian,4,100,0.9348465490133298,0.83,0.17,0,0.0,12.39,12.39,,
local_discontinuity,800,adaptive_approximate,0,100,0.9013398497953535,1,0,0,0.0,241.38,241.38,,
local_discontinuity,800,adaptive_approximate,1,100,0.9036973760752879,1,0,0,0.0,198.58,198.58,,
local_discontinuity,800,adaptive_approximate,2,100,0.9047117460069294,1,0,0,0.0,175.53,175.53,,
local_discontinuity,800,adaptive_approximate,3,100,0.9031617799415164,1,0,0,0.0,160.25,160.25,,
local_discontinuity,800,adaptive_approximate,4,100,0.9111270645844097,1,0,0,0.0,24.26,24.26,,
local_discontinuity,800,adaptive_certified_v0_3,0,100,0.9013398497953535,1,0,0,0.0,241.38,241.38,,
local_discontinuity,800,adaptive_certified_v0_3,1,100,0.9036973760752879,1,0,0,0.0,198.58,198.58,,
local_discontinuity,800,adaptive_certified_v0_3,2,100,0.9047117460069294,1,0,0,0.0,175.53,175.53,,
local_discontinuity,800,adaptive_certified_v0_3,3,100,0.9031617799415164,1,0,0,0.0,160.25,160.25,,
local_discontinuity,800,adaptive_certified_v0_3,4,100,0.9111270645844097,1,0,0,0.0,24.26,24.26,,
local_discontinuity,800,fixed_ordinal_pooling_h1,0,100,0.9034709872415505,1,0,0,0.0,241.38,439.96,,
local_discontinuity,800,fixed_ordinal_pooling_h1,1,100,0.901059760620717,1,0,0,0.0,198.58,615.49,,
local_discontinuity,800,fixed_ordinal_pooling_h1,2,100,0.9785407594227044,1,0,0,0.0,175.53,534.36,,
local_discontinuity,800,fixed_ordinal_pooling_h1,3,100,0.8163370989847736,1,0,0,0.0,160.25,360.04,,
local_discontinuity,800,fixed_ordinal_pooling_h1,4,100,0.8994382333780003,1,0,0,0.0,24.26,184.51,,
local_discontinuity,800,independent_mondrian,0,100,0.9013398497953535,1,0,0,0.0,241.38,241.38,,
local_discontinuity,800,independent_mondrian,1,100,0.9036973760752879,1,0,0,0.0,198.58,198.58,,
local_discontinuity,800,independent_mondrian,2,100,0.9047117460069294,1,0,0,0.0,175.53,175.53,,
local_discontinuity,800,independent_mondrian,3,100,0.9031617799415164,1,0,0,0.0,160.25,160.25,,
local_discontinuity,800,independent_mondrian,4,100,0.9111270645844097,1,0,0,0.0,24.26,24.26,,
local_discontinuity,1600,adaptive_approximate,0,100,0.9008125976831655,1,0,0,0.0,478.23,478.23,,
local_discontinuity,1600,adaptive_approximate,1,100,0.9001487882492951,1,0,0,0.0,402.28,402.28,,
local_discontinuity,1600,adaptive_approximate,2,100,0.9008214876985047,1,0,0,0.0,350.76,350.76,,
local_discontinuity,1600,adaptive_approximate,3,100,0.9019715812261196,1,0,0,0.0,320.39,320.39,,
local_discontinuity,1600,adaptive_approximate,4,100,0.9091391857545769,1,0,0,0.0,48.34,48.34,,
local_discontinuity,1600,adaptive_certified_v0_3,0,100,0.9008125976831655,1,0,0,0.0,478.23,478.23,,
local_discontinuity,1600,adaptive_certified_v0_3,1,100,0.9001487882492951,1,0,0,0.0,402.28,402.28,,
local_discontinuity,1600,adaptive_certified_v0_3,2,100,0.9008214876985047,1,0,0,0.0,350.76,350.76,,
local_discontinuity,1600,adaptive_certified_v0_3,3,100,0.9019715812261196,1,0,0,0.0,320.39,320.39,,
local_discontinuity,1600,adaptive_certified_v0_3,4,100,0.9091391857545769,1,0,0,0.0,48.34,48.34,,
local_discontinuity,1600,fixed_ordinal_pooling_h1,0,100,0.9022264487418356,1,0,0,0.0,478.23,880.51,,
local_discontinuity,1600,fixed_ordinal_pooling_h1,1,100,0.9000080169416829,1,0,0,0.0,402.28,1231.27,,
local_discontinuity,1600,fixed_ordinal_pooling_h1,2,100,0.9782347438095418,1,0,0,0.0,350.76,1073.43,,
local_discontinuity,1600,fixed_ordinal_pooling_h1,3,100,0.8145148701378533,1,0,0,0.0,320.39,719.49,,
local_discontinuity,1600,fixed_ordinal_pooling_h1,4,100,0.8973054310026497,1,0,0,0.0,48.34,368.73,,
local_discontinuity,1600,independent_mondrian,0,100,0.9008125976831655,1,0,0,0.0,478.23,478.23,,
local_discontinuity,1600,independent_mondrian,1,100,0.9001487882492951,1,0,0,0.0,402.28,402.28,,
local_discontinuity,1600,independent_mondrian,2,100,0.9008214876985047,1,0,0,0.0,350.76,350.76,,
local_discontinuity,1600,independent_mondrian,3,100,0.9019715812261196,1,0,0,0.0,320.39,320.39,,
local_discontinuity,1600,independent_mondrian,4,100,0.9091391857545769,1,0,0,0.0,48.34,48.34,,
moderate_smoothness,200,adaptive_approximate,0,100,0.9127940667393756,1,0,0,0.0,58.98,58.98,,
