scenario,n_cal,method,eta,class_id,repetitions,mean_own_support,mean_pooled_support,mean_support_multiplier,mean_radius,mean_cost,guarantee_floor,mean_actual_coverage,finite_rate,realized_threshold_above_floor_rate
local_discontinuity,200,approximate_ordinal_borrowing,0.0,4,46,3.869565217391304,3.869565217391304,1.0,0.0,0.0,0.9,1.0,0,1
local_discontinuity,200,approximate_ordinal_borrowing,0.01,4,46,3.869565217391304,3.869565217391304,1.0,0.0,0.0,0.9,1.0,0,1
local_discontinuity,200,approximate_ordinal_borrowing,0.02,4,46,3.869565217391304,3.869565217391304,1.0,0.0,0.0,0.9,1.0,0,1
local_discontinuity,200,approximate_ordinal_borrowing,0.05,4,46,3.869565217391304,3.869565217391304,1.0,0.0,0.0,0.9,1.0,0,1
local_discontinuity,200,fixed_ordinal_pooling,,4,46,3.869565217391304,44.82608695652174,12.790217391304347,1.0,0.46221562571705227,0.43778437428294775,0.9024865516233621,1,1
local_discontinuity,200,independent_mondrian,,4,46,3.869565217391304,3.869565217391304,1.0,0.0,0.0,0.9,1.0,0,1
local_discontinuity,400,approximate_ordinal_borrowing,0.0,4,1,5.0,5.0,1.0,0.0,0.0,0.9,1.0,0,1
local_discontinuity,400,approximate_ordinal_borrowing,0.01,4,1,5.0,5.0,1.0,0.0,0.0,0.9,1.0,0,1
local_discontinuity,400,approximate_ordinal_borrowing,0.02,4,1,5.0,5.0,1.0,0.0,0.0,0.9,1.0,0,1
local_discontinuity,400,approximate_ordinal_borrowing,0.05,4,1,5.0,5.0,1.0,0.0,0.0,0.9,1.0,0,1
local_discontinuity,400,fixed_ordinal_pooling,,4,1,5.0,79.0,15.8,1.0,0.46221562571705227,0.43778437428294775,0.8610786560498545,1,1
local_discontinuity,400,independent_mondrian,,4,1,5.0,5.0,1.0,0.0,0.0,0.9,1.0,0,1
moderate_smoothness,200,approximate_ordinal_borrowing,0.0,4,44,4.0,4.0,1.0,0.0,0.0,0.9,1.0,0,1
moderate_smoothness,200,approximate_ordinal_borrowing,0.01,4,44,4.0,4.0,1.0,0.0,0.0,0.9,1.0,0,1
moderate_smoothness,200,approximate_ordinal_borrowing,0.02,4,44,4.0,4.0,1.0,0.0,0.0,0.9,1.0,0,1
moderate_smoothness,200,approximate_ordinal_borrowing,0.05,4,44,4.0,4.0,1.0,0.0,0.0,0.9,1.0,0,1
moderate_smoothness,200,fixed_ordinal_pooling,,4,44,4.0,44.63636363636363,12.586821705426356,1.0,0.06063123005863545,0.8393687699413646,0.8767217218598217,1,0.75
moderate_smoothness,200,independent_mondrian,,4,44,4.0,4.0,1.0,0.0,0.0,0.9,1.0,0,1
no_ordinal_structure,200,approximate_ordinal_borrowing,0.0,4,50,3.9,3.9,1.0,0.0,0.0,0.9,1.0,0,1
no_ordinal_structure,200,approximate_ordinal_borrowing,0.01,4,50,3.9,3.9,1.0,0.0,0.0,0.9,1.0,0,1
no_ordinal_structure,200,approximate_ordinal_borrowing,0.02,4,50,3.9,3.9,1.0,0.0,0.0,0.9,1.0,0,1
no_ordinal_structure,200,approximate_ordinal_borrowing,0.05,4,50,3.9,3.9,1.0,0.0,0.0,0.9,1.0,0,1
no_ordinal_structure,200,fixed_ordinal_pooling,,4,50,3.9,43.72,12.246333333333334,1.0,0.8299997705249057,0.07000022947509432,0.999999835262922,1,1
no_ordinal_structure,200,independent_mondrian,,4,50,3.9,3.9,1.0,0.0,0.0,0.9,1.0,0,1
no_ordinal_structure,400,approximate_ordinal_borrowing,0.0,4,1,5.0,5.0,1.0,0.0,0.0,0.9,1.0,0,1
no_ordinal_structure,400,approximate_ordinal_borrowing,0.01,4,1,5.0,5.0,1.0,0.0,0.0,0.9,1.0,0,1
no_ordinal_structure,400,approximate_ordinal_borrowing,0.02,4,1,5.0,5.0,1.0,0.0,0.0,0.9,1.0,0,1
no_ordinal_structure,400,approximate_ordinal_borrowing,0.05,4,1,5.0,5.0,1.0,0.0,0.0,0.9,1.0,0,1
no_ordinal_structure,400,fixed_ordinal_pooling,,4,1,5.0,84.0,16.8,1.0,0.8299997705249057,0.07000022947509432,0.9999999688166219,1,1
no_ordinal_structure,400,independent_mondrian,,4,1,5.0,5.0,1.0,0.0,0.0,0.9,1.0,0,1
strong_smoothness,200,approximate_ordinal_borrowing,0.0,4,47,3.8297872340425534,3.8297872340425534,1.0,0.0,0.0,0.9,1.0,0,1
strong_smoothness,200,approximate_ordinal_borrowing,0.01,4,47,3.8297872340425534,45.276595744680854,14.035815602836879,1.0,0.00867243242441387,0.8913275675755862,0.8979336416137955,1,0.6808510638297872
strong_smoothness,200,approximate_ordinal_borrowing,0.02,4,47,3.8297872340425534,141.27659574468086,44.64148936170213,3.0,0.019804118900607962,0.8801958810993921,0.8940367065660608,1,0.6808510638297872
strong_smoothness,200,approximate_ordinal_borrowing,0.05,4,47,3.8297872340425534,200.0,62.836879432624116,4.0,0.025830839976116717,0.8741691600238833,0.8906159033961445,1,0.8297872340425532
strong_smoothness,200,fixed_ordinal_pooling,,4,47,3.8297872340425534,45.276595744680854,14.035815602836879,1.0,0.00867243242441387,0.8913275675755862,0.8979336416137955,1,0.6808510638297872
strong_smoothness,200,independent_mondrian,,4,47,3.8297872340425534,3.8297872340425534,1.0,0.0,0.0,0.9,1.0,0,1
strong_smoothness,400,approximate_ordinal_borrowing,0.0,4,3,5.0,5.0,1.0,0.0,0.0,0.9,1.0,0,1
strong_smoothness,400,approximate_ordinal_borrowing,0.01,4,3,5.0,85.33333333333333,17.066666666666666,1.0,0.00867243242441387,0.8913275675755862,0.8792285263016196,1,0.3333333333333333
strong_smoothness,400,approximate_ordinal_borrowing,0.02,4,3,5.0,278.6666666666667,55.733333333333334,3.0,0.019804118900607962,0.8801958810993921,0.8796682717947171,1,0.3333333333333333
strong_smoothness,400,approximate_ordinal_borrowing,0.05,4,3,5.0,400.0,80.0,4.0,0.025830839976116717,0.8741691600238833,0.8794780862412996,1,0.6666666666666666
strong_smoothness,400,fixed_ordinal_pooling,,4,3,5.0,85.33333333333333,17.066666666666666,1.0,0.00867243242441387,0.8913275675755862,0.8792285263016196,1,0.3333333333333333
strong_smoothness,400,independent_mondrian,,4,3,5.0,5.0,1.0,0.0,0.0,0.9,1.0,0,1
