scenario,n_cal,method,eta,class_id,repetitions,mean_own_support,mean_pooled_support,mean_support_multiplier,mean_radius,mean_cost,guarantee_floor,mean_actual_coverage,finite_rate,realized_threshold_above_floor_rate
local_discontinuity,200,approximate_ordinal_borrowing,0.0,4,100,6.14,6.14,1.0,0.0,0.0,0.9,0.983247023663106,0.17,0.93
local_discontinuity,200,approximate_ordinal_borrowing,0.01,4,100,6.14,6.14,1.0,0.0,0.0,0.9,0.983247023663106,0.17,0.93
local_discontinuity,200,approximate_ordinal_borrowing,0.02,4,100,6.14,6.14,1.0,0.0,0.0,0.9,0.983247023663106,0.17,0.93
local_discontinuity,200,approximate_ordinal_borrowing,0.05,4,100,6.14,6.14,1.0,0.0,0.0,0.9,0.983247023663106,0.17,0.93
local_discontinuity,400,approximate_ordinal_borrowing,0.0,4,100,12.11,12.11,1.0,0.0,0.0,0.9,0.9195806844635256,0.88,0.68
local_discontinuity,400,approximate_ordinal_borrowing,0.01,4,100,12.11,12.11,1.0,0.0,0.0,0.9,0.9195806844635256,0.88,0.68
local_discontinuity,400,approximate_ordinal_borrowing,0.02,4,100,12.11,12.11,1.0,0.0,0.0,0.9,0.9195806844635256,0.88,0.68
local_discontinuity,400,approximate_ordinal_borrowing,0.05,4,100,12.11,12.11,1.0,0.0,0.0,0.9,0.9195806844635256,0.88,0.68
local_discontinuity,800,approximate_ordinal_borrowing,0.0,4,100,24.48,24.48,1.0,0.0,0.0,0.9,0.9184745381289443,1,0.69
local_discontinuity,800,approximate_ordinal_borrowing,0.01,4,100,24.48,24.48,1.0,0.0,0.0,0.9,0.9184745381289443,1,0.69
local_discontinuity,800,approximate_ordinal_borrowing,0.02,4,100,24.48,24.48,1.0,0.0,0.0,0.9,0.9184745381289443,1,0.69
local_discontinuity,800,approximate_ordinal_borrowing,0.05,4,100,24.48,24.48,1.0,0.0,0.0,0.9,0.9184745381289443,1,0.69
local_discontinuity,1600,approximate_ordinal_borrowing,0.0,4,100,48.03,48.03,1.0,0.0,0.0,0.9,0.9161797686604756,1,0.68
local_discontinuity,1600,approximate_ordinal_borrowing,0.01,4,100,48.03,48.03,1.0,0.0,0.0,0.9,0.9161797686604756,1,0.68
local_discontinuity,1600,approximate_ordinal_borrowing,0.02,4,100,48.03,48.03,1.0,0.0,0.0,0.9,0.9161797686604756,1,0.68
local_discontinuity,1600,approximate_ordinal_borrowing,0.05,4,100,48.03,48.03,1.0,0.0,0.0,0.9,0.9161797686604756,1,0.68
moderate_smoothness,200,approximate_ordinal_borrowing,0.0,4,100,6.01,6.01,1.0,0.0,0.0,0.9,0.9896869557350545,0.11,0.96
moderate_smoothness,200,approximate_ordinal_borrowing,0.01,4,100,6.01,6.01,1.0,0.0,0.0,0.9,0.9896869557350545,0.11,0.96
moderate_smoothness,200,approximate_ordinal_borrowing,0.02,4,100,6.01,6.01,1.0,0.0,0.0,0.9,0.9896869557350545,0.11,0.96
