scenario,eta,class_id,weighted_radius,weighted_cost,worst_radius,worst_cost
strong_smoothness,0.0,0,0,0.0,0,0.0
strong_smoothness,0.0,1,0,0.0,0,0.0
strong_smoothness,0.0,2,0,0.0,0,0.0
strong_smoothness,0.0,3,0,0.0,0,0.0
strong_smoothness,0.0,4,0,0.0,0,0.0
strong_smoothness,0.01,0,2,0.00893711055684728,1,0.009973297288075951
strong_smoothness,0.01,1,2,0.009459209798999871,1,0.009973297288075951
strong_smoothness,0.01,2,1,0.006698483253185341,1,0.009973297288075951
strong_smoothness,0.01,3,1,0.005540720715597749,1,0.009973297288075951
strong_smoothness,0.01,4,1,0.00867243242441387,1,0.009973297288075951
strong_smoothness,0.02,0,4,0.014062349176187093,2,0.019946594576151902
strong_smoothness,0.02,1,3,0.010073030260956711,2,0.019946594576151902
strong_smoothness,0.02,2,2,0.011070359989764307,2,0.019946594576151902
strong_smoothness,0.02,3,3,0.016455940525325317,2,0.019946594576151902
strong_smoothness,0.02,4,3,0.019804118900607962,2,0.019946594576151902
strong_smoothness,0.05,0,4,0.014062349176187093,4,0.039893189152303804
strong_smoothness,0.05,1,3,0.010073030260956711,3,0.029919891864227853
strong_smoothness,0.05,2,2,0.011070359989764307,2,0.019946594576151902
strong_smoothness,0.05,3,3,0.016455940525325317,3,0.029919891864227853
strong_smoothness,0.05,4,4,0.025830839976116717,4,0.039893189152303804
moderate_smoothness,0.0,0,0,0.0,0,0.0
moderate_smoothness,0.0,1,0,0.0,0,0.0
moderate_smoothness,0.0,2,0,0.0,0,0.0
moderate_smoothness,0.0,3,0,0.0,0,0.0
moderate_smoothness,0.0,4,0,0.0,0,0.0
moderate_smoothness,0.01,0,0,0.0,0,0.0
moderate_smoothness,0.01,1,0,0.0,0,0.0
moderate_smoothness,0.01,2,0,0.0,0,0.0
moderate_smoothness,0.01,3,0,0.0,0,0.0
moderate_smoothness,0.01,4,0,0.0,0,0.0
moderate_smoothness,0.02,0,0,0.0,0,0.0
moderate_smoothness,0.02,1,0,0.0,0,0.0
moderate_smoothness,0.02,2,0,0.0,0,0.0
moderate_smoothness,0.02,3,0,0.0,0,0.0
moderate_smoothness,0.02,4,0,0.0,0,0.0
moderate_smoothness,0.05,0,1,0.03169359753065035,0,0.0
moderate_smoothness,0.05,1,1,0.04708763061696623,0,0.0
moderate_smoothness,0.05,2,1,0.04683083814230425,0,0.0
moderate_smoothness,0.05,3,1,0.0387366192041282,0,0.0
moderate_smoothness,0.05,4,0,0.0,0,0.0
local_discontinuity,0.0,0,0,0.0,0,0.0
local_discontinuity,0.0,1,0,0.0,0,0.0
local_discontinuity,0.0,2,0,0.0,0,0.0
local_discontinuity,0.0,3,0,0.0,0,0.0
local_discontinuity,0.0,4,0,0.0,0,0.0
local_discontinuity,0.01,0,0,0.0,0,0.0
local_discontinuity,0.01,1,0,0.0,0,0.0
local_discontinuity,0.01,2,0,0.0,0,0.0
local_discontinuity,0.01,3,0,0.0,0,0.0
local_discontinuity,0.01,4,0,0.0,0,0.0
local_discontinuity,0.02,0,0,0.0,0,0.0
local_discontinuity,0.02,1,0,0.0,0,0.0
local_discontinuity,0.02,2,0,0.0,0,0.0
local_discontinuity,0.02,3,0,0.0,0,0.0
local_discontinuity,0.02,4,0,0.0,0,0.0
local_discontinuity,0.05,0,0,0.0,0,0.0
local_discontinuity,0.05,1,0,0.0,0,0.0
local_discontinuity,0.05,2,0,0.0,0,0.0
local_discontinuity,0.05,3,0,0.0,0,0.0
local_discontinuity,0.05,4,0,0.0,0,0.0
no_ordinal_structure,0.0,0,0,0.0,0,0.0
no_ordinal_structure,0.0,1,0,0.0,0,0.0
no_ordinal_structure,0.0,2,0,0.0,0,0.0
no_ordinal_structure,0.0,3,0,0.0,0,0.0
no_ordinal_structure,0.0,4,0,0.0,0,0.0
no_ordinal_structure,0.01,0,0,0.0,0,0.0
no_ordinal_structure,0.01,1,0,0.0,0,0.0
no_ordinal_structure,0.01,2,0,0.0,0,0.0
no_ordinal_structure,0.01,3,0,0.0,0,0.0
no_ordinal_structure,0.01,4,0,0.0,0,0.0
no_ordinal_structure,0.02,0,0,0.0,0,0.0
no_ordinal_structure,0.02,1,0,0.0,0,0.0
no_ordinal_structure,0.02,2,0,0.0,0,0.0
no_ordinal_structure,0.02,3,0,0.0,0,0.0
no_ordinal_structure,0.02,4,0,0.0,0,0.0
no_ordinal_structure,0.05,0,0,0.0,0,0.0
no_ordinal_structure,0.05,1,0,0.0,0,0.0
no_ordinal_structure,0.05,2,0,0.0,0,0.0
no_ordinal_structure,0.05,3,0,0.0,0,0.0
no_ordinal_structure,0.05,4,0,0.0,0,0.0
