n_cert,method,tau,repetitions,mean_support,finite_rate,pac_valid_rate,mean_true_coverage,mean_threshold_finite,mean_candidate_true_coverage,sd_candidate_true_coverage,mean_lower_bound,mean_successes
1000,ordinal_pooled_candidate_uncertified,0.9,100,45.03,1,0.63,0.9072442528679114,0.7932609637626898,0.9072442528679114,0.04129296311590096,,
1000,ordinal_pooled_candidate_uncertified,0.93,100,45.03,1,0.85,0.9389572001804848,0.8440250414490672,0.9389572001804848,0.03407135806337529,,
1000,ordinal_pooled_candidate_uncertified,0.95,100,45.03,1,0.94,0.9590229449914698,0.8883113767047792,0.9590229449914698,0.028031430792927064,,
1000,ordinal_pooled_candidate_uncertified,0.97,100,45.03,0.99,1,0.9775376190821173,0.9546793248220277,0.9775376190821173,0.020725685758291073,,
2000,ordinal_pooled_candidate_uncertified,0.9,100,46.16,1,0.67,0.9085295620037375,0.7932437495742756,0.9085295620037375,0.03851561075200051,,
2000,ordinal_pooled_candidate_uncertified,0.93,100,46.16,1,0.9,0.9401095040502527,0.8425918091554784,0.9401095040502527,0.03229872998051452,,
2000,ordinal_pooled_candidate_uncertified,0.95,100,46.16,1,0.95,0.9592957480466042,0.8837063500877709,0.9592957480466042,0.026775647935772313,,
2000,ordinal_pooled_candidate_uncertified,0.97,100,46.16,1,0.99,0.9774445987600564,0.954954396744308,0.9774445987600564,0.020866008078050377,,
5000,ordinal_pooled_candidate_uncertified,0.9,100,45.91,1,0.59,0.9039073318474421,0.7911780777278449,0.9039073318474421,0.0480408266295693,,
5000,ordinal_pooled_candidate_uncertified,0.93,100,45.91,1,0.83,0.9366905690905738,0.840054545831354,0.9366905690905738,0.0392565596570442,,
5000,ordinal_pooled_candidate_uncertified,0.95,100,45.91,1,0.93,0.9557984852585606,0.8852459561573213,0.9557984852585606,0.035050719842277436,,
5000,ordinal_pooled_candidate_uncertified,0.97,100,45.91,0.97,1,0.9793821092743762,0.9666816203896107,0.9793821092743762,0.021422194277778837,,
10000,ordinal_pooled_candidate_uncertified,0.9,100,45.63,1,0.6,0.9020892649140958,0.7884702363458045,0.9020892649140958,0.04786252866107599,,
10000,ordinal_pooled_candidate_uncertified,0.93,100,45.63,1,0.84,0.9384177253348646,0.8446760555038797,0.9384177253348646,0.036665334227345664,,
10000,ordinal_pooled_candidate_uncertified,0.95,100,45.63,1,0.95,0.9583584995791848,0.8888437053260915,0.9583584995791848,0.031133431052597457,,
10000,ordinal_pooled_candidate_uncertified,0.97,100,45.63,0.97,0.99,0.9793172460273047,0.9638748165025598,0.9793172460273047,0.022044684591823238,,
20000,ordinal_pooled_candidate_uncertified,0.9,100,45.14,1,0.52,0.9022320392330652,0.7874181021696237,0.9022320392330652,0.04160439118985089,,
20000,ordinal_pooled_candidate_uncertified,0.93,100,45.14,1,0.86,0.9349973792512232,0.8355006575791756,0.9349973792512232,0.034208299596282805,,
20000,ordinal_pooled_candidate_uncertified,0.95,100,45.14,1,0.94,0.9523787261088151,0.8747408932327573,0.9523787261088151,0.031713588446674906,,
20000,ordinal_pooled_candidate_uncertified,0.97,100,45.14,0.99,0.98,0.9740783319813969,0.9470660737551199,0.9740783319813969,0.024041908494655432,,
