n_cert,tau,ordinal_certified_finite_rate,direct_pac_split_finite_rate,direct_pac_total_finite_rate,vs_split_finite_rate_difference,vs_total_finite_rate_difference,ordinal_mean_finite_threshold,direct_total_mean_threshold
1000,0.9,0,0.03,0.1,-0.03,-0.1,,0.9475666684239352
1000,0.93,0.01,0.03,0.1,-0.019999999999999997,-0.09000000000000001,0.8776703035435772,0.9475666684239352
1000,0.95,0.01,0.03,0.1,-0.019999999999999997,-0.09000000000000001,0.8776703035435772,0.9475666684239352
1000,0.97,0.01,0.03,0.1,-0.019999999999999997,-0.09000000000000001,0.9231434703735121,0.9475666684239352
2000,0.9,0.02,1,1,-0.98,-0.98,0.8354379193637244,0.9333178503455163
2000,0.93,0.15,1,1,-0.85,-0.85,0.8949325412052388,0.9333178503455163
2000,0.95,0.23,1,1,-0.77,-0.77,0.9364786308791004,0.9333178503455163
2000,0.97,0.54,1,1,-0.45999999999999996,-0.45999999999999996,1.0052329130042212,0.9333178503455163
5000,0.9,0.2,1,1,-0.8,-0.8,0.8613790688206283,0.8560667830594584
5000,0.93,0.44,1,1,-0.56,-0.56,0.8875231098208274,0.8560667830594584
5000,0.95,0.63,1,1,-0.37,-0.37,0.926158876796877,0.8560667830594584
5000,0.97,0.86,1,1,-0.14,-0.14,0.9844452403906481,0.8560667830594584
10000,0.9,0.23,1,1,-0.77,-0.77,0.8598024443981834,0.8319334641798218
10000,0.93,0.51,1,1,-0.49,-0.49,0.8955657062337931,0.8319334641798218
10000,0.95,0.75,1,1,-0.25,-0.25,0.9179325263989904,0.8319334641798218
10000,0.97,0.9,1,1,-0.09999999999999998,-0.09999999999999998,0.9762312416950152,0.8319334641798218
20000,0.9,0.33,1,1,-0.6699999999999999,-0.6699999999999999,0.8460878641282432,0.8122115678030605
20000,0.93,0.65,1,1,-0.35,-0.35,0.8659666765297933,0.8122115678030605
20000,0.95,0.86,1,1,-0.14,-0.14,0.8906732123952895,0.8122115678030605
20000,0.97,0.93,1,1,-0.06999999999999995,-0.06999999999999995,0.9569464624857112,0.8122115678030605
