certification_support,true_coverage,minimum_successes,acceptance_probability
30,0.9,,0.0
30,0.92,,0.0
30,0.93,,0.0
30,0.95,,0.0
30,0.97,,0.0
30,0.99,,0.0
60,0.9,60,0.0017970102999144337
60,0.92,60,0.00671845852888167
60,0.93,60,0.012852183368996866
60,0.95,60,0.04606979898695195
60,0.97,60,0.16080666902157661
60,0.99,60,0.5471566423907612
150,0.9,144,0.005601734095916477
150,0.92,144,0.039741779624575396
150,0.93,144,0.09344190658121872
150,0.95,144,0.3728763129971505
150,0.97,144,0.8340041647427605
150,0.99,144,0.9991516600989457
300,0.9,282,0.009712618709520391
300,0.92,282,0.11813367116138256
300,0.93,282,0.2934983272197963
300,0.95,282,0.8249550489985888
300,0.97,282,0.9979478764317941
300,0.99,282,0.9999999996311927
600,0.9,557,0.00989372907296968
600,0.92,557,0.2528018998882697
600,0.93,557,0.6031652252752892
600,0.95,557,0.991865009493419
600,0.97,557,0.9999999096291121
600,0.99,557,0.9999999999998577
