repetition,n_cert,method,tau,candidate_threshold,candidate_true_coverage,threshold,finite,true_coverage,pac_valid,support,successes,lower_bound,accepted
0,1000,independent_mondrian_total_budget,,,,0.7770752778174819,1,0.9006696060694389,1,43,,,
0,1000,direct_pac_split_matched,,,1.0,,0,1.0,1,34,0,0.0,0
0,1000,direct_pac_total_budget,,,1.0,,0,1.0,1,43,0,0.0,0
0,1000,ordinal_pooled_candidate_uncertified,0.9,0.8644475876262462,0.9574867875091497,0.8644475876262462,1,0.9574867875091497,1,46,,,
0,1000,ordinal_candidate_plus_cp_certification,0.9,0.8644475876262462,0.9574867875091497,,0,1.0,1,34,33,0.8201806253300565,0
0,1000,ordinal_pooled_candidate_uncertified,0.93,0.8743067417223461,0.9617640038249441,0.8743067417223461,1,0.9617640038249441,1,46,,,
0,1000,ordinal_candidate_plus_cp_certification,0.93,0.8743067417223461,0.9617640038249441,,0,1.0,1,34,33,0.8201806253300565,0
0,1000,ordinal_pooled_candidate_uncertified,0.95,0.9571356015130579,0.9855804145051004,0.9571356015130579,1,0.9855804145051004,1,46,,,
0,1000,ordinal_candidate_plus_cp_certification,0.95,0.9571356015130579,0.9855804145051004,,0,1.0,1,34,33,0.8201806253300565,0
0,1000,ordinal_pooled_candidate_uncertified,0.97,1.1649085129143133,0.9993691295082059,1.1649085129143133,1,0.9993691295082059,1,46,,,
0,1000,ordinal_candidate_plus_cp_certification,0.97,1.1649085129143133,0.9993691295082059,,0,1.0,1,34,34,0.8733261623828432,0
1,1000,independent_mondrian_total_budget,,,,0.7977911760204832,1,0.9175769166966081,1,43,,,
1,1000,direct_pac_split_matched,,,1.0,,0,1.0,1,40,0,0.0,0
1,1000,direct_pac_total_budget,,,1.0,,0,1.0,1,43,0,0.0,0
1,1000,ordinal_pooled_candidate_uncertified,0.9,0.7958063730639402,0.9160575353261158,0.7958063730639402,1,0.9160575353261158,1,40,,,
1,1000,ordinal_candidate_plus_cp_certification,0.9,0.7958063730639402,0.9160575353261158,,0,1.0,1,40,36,0.7363813201148686,0
1,1000,ordinal_pooled_candidate_uncertified,0.93,0.846259466672798,0.9485862021027167,0.846259466672798,1,0.9485862021027167,1,40,,,
1,1000,ordinal_candidate_plus_cp_certification,0.93,0.846259466672798,0.9485862021027167,,0,1.0,1,40,40,0.8912509381337455,0
1,1000,ordinal_pooled_candidate_uncertified,0.95,0.846259466672798,0.9485862021027167,0.846259466672798,1,0.9485862021027167,1,40,,,
1,1000,ordinal_candidate_plus_cp_certification,0.95,0.846259466672798,0.9485862021027167,,0,1.0,1,40,40,0.8912509381337455,0
1,1000,ordinal_pooled_candidate_uncertified,0.97,0.8881828119921965,0.9671829231661091,0.8881828119921965,1,0.9671829231661091,1,40,,,
1,1000,ordinal_candidate_plus_cp_certification,0.97,0.8881828119921965,0.9671829231661091,,0,1.0,1,40,40,0.8912509381337455,0
2,1000,independent_mondrian_total_budget,,,,0.7996421155461284,1,0.9189750793652125,1,23,,,
2,1000,direct_pac_split_matched,,,1.0,,0,1.0,1,20,0,0.0,0
2,1000,direct_pac_total_budget,,,1.0,,0,1.0,1,23,0,0.0,0
2,1000,ordinal_pooled_candidate_uncertified,0.9,0.7654928965524009,0.890175968403258,0.7654928965524009,1,0.890175968403258,0,43,,,
2,1000,ordinal_candidate_plus_cp_certification,0.9,0.7654928965524009,0.890175968403258,,0,1.0,1,20,18,0.6416647373591131,0
2,1000,ordinal_pooled_candidate_uncertified,0.93,0.8440648498766958,0.9474186787535135,0.8440648498766958,1,0.9474186787535135,1,43,,,
2,1000,ordinal_candidate_plus_cp_certification,0.93,0.8440648498766958,0.9474186787535135,,0,1.0,1,20,19,0.7112096320069801,0
2,1000,ordinal_pooled_candidate_uncertified,0.95,0.8875677496797721,0.9669569150017807,0.8875677496797721,1,0.9669569150017807,1,43,,,
2,1000,ordinal_candidate_plus_cp_certification,0.95,0.8875677496797721,0.9669569150017807,,0,1.0,1,20,19,0.7112096320069801,0
2,1000,ordinal_pooled_candidate_uncertified,0.97,0.8909028452023827,0.9681671865968722,0.8909028452023827,1,0.9681671865968722,1,43,,,
2,1000,ordinal_candidate_plus_cp_certification,0.97,0.8909028452023827,0.9681671865968722,,0,1.0,1,20,19,0.7112096320069801,0
3,1000,independent_mondrian_total_budget,,,,0.7293926847386634,1,0.852441776013508,0,33,,,
3,1000,direct_pac_split_matched,,,1.0,,0,1.0,1,27,0,0.0,0
3,1000,direct_pac_total_budget,,,1.0,,0,1.0,1,33,0,0.0,0
3,1000,ordinal_pooled_candidate_uncertified,0.9,0.7293926847386634,0.852441776013508,0.7293926847386634,1,0.852441776013508,0,39,,,
3,1000,ordinal_candidate_plus_cp_certification,0.9,0.7293926847386634,0.852441776013508,,0,1.0,1,27,26,0.7782969442853849,0
3,1000,ordinal_pooled_candidate_uncertified,0.93,0.8685767599686607,0.9593230428068141,0.8685767599686607,1,0.9593230428068141,1,39,,,
3,1000,ordinal_candidate_plus_cp_certification,0.93,0.8685767599686607,0.9593230428068141,,0,1.0,1,27,27,0.8431909292866258,0
