n_cert,method,tau,repetitions,mean_support,finite_rate,pac_valid_rate,mean_true_coverage,mean_threshold_finite,mean_candidate_true_coverage,sd_candidate_true_coverage,mean_lower_bound,mean_successes
1000,direct_pac_split_matched,,100,29.75,0.03,1,0.9989161410647622,0.9031057332707656,0.9989161410647622,0.00718657244387462,0.027115542184140785,1.37
1000,direct_pac_total_budget,,100,35.56,0.1,1,0.9978158672308496,0.9475666684239352,0.9978158672308496,0.00844365728895309,0.0907563812294745,4.76
1000,independent_mondrian_total_budget,,100,35.56,1,0.64,0.9131015914179629,0.8024336148279045,,,,
1000,ordinal_candidate_plus_cp_certification,0.9,100,29.75,0,1,1.0,,0.9072442528679114,0.04129296311590096,0.7193275930716,27.18
1000,ordinal_candidate_plus_cp_certification,0.93,100,29.75,0.01,1,0.9996314034348633,0.8776703035435772,0.9389572001804848,0.03407135806337529,0.7654073549881468,28.12
1000,ordinal_candidate_plus_cp_certification,0.95,100,29.75,0.01,1,0.9996314034348633,0.8776703035435772,0.9590229449914698,0.028031430792927064,0.7910939072937421,28.63
1000,ordinal_candidate_plus_cp_certification,0.97,100,29.75,0.01,1,0.9997808522994337,0.9231434703735121,0.9775376190821173,0.020725685758291073,0.8041168379596676,28.75
1000,ordinal_pooled_candidate_uncertified,0.9,100,45.03,1,0.63,0.9072442528679114,0.7932609637626898,0.9072442528679114,0.04129296311590096,,
1000,ordinal_pooled_candidate_uncertified,0.93,100,45.03,1,0.85,0.9389572001804848,0.8440250414490672,0.9389572001804848,0.03407135806337529,,
1000,ordinal_pooled_candidate_uncertified,0.95,100,45.03,1,0.94,0.9590229449914698,0.8883113767047792,0.9590229449914698,0.028031430792927064,,
1000,ordinal_pooled_candidate_uncertified,0.97,100,45.03,0.99,1,0.9775376190821173,0.9546793248220277,0.9775376190821173,0.020725685758291073,,
2000,direct_pac_split_matched,,100,61.34,1,0.98,0.9776627680324964,0.9501923629076037,0.9776627680324964,0.020840935893613736,0.9151456792216316,60.93
2000,direct_pac_total_budget,,100,67.45,1,0.98,0.9744207503925759,0.9333178503455163,0.9744207503925759,0.02124223335702168,0.9133703797483644,66.71
2000,independent_mondrian_total_budget,,100,67.45,1,0.66,0.9055403062062921,0.7894580623992653,,,,
2000,ordinal_candidate_plus_cp_certification,0.9,100,61.34,0.02,1,0.998724787329049,0.8354379193637244,0.9085295620037375,0.03851561075200051,0.7949151534252903,55.97
2000,ordinal_candidate_plus_cp_certification,0.93,100,61.34,0.15,1,0.9950289677191121,0.8949325412052388,0.9401095040502527,0.03229872998051452,0.8346570447731783,57.74
2000,ordinal_candidate_plus_cp_certification,0.95,100,61.34,0.23,1,0.9950291432371978,0.9364786308791004,0.9592957480466042,0.026775647935772313,0.8583226856893811,58.76
2000,ordinal_candidate_plus_cp_certification,0.97,100,61.34,0.54,1,0.9941516412105846,1.0052329130042212,0.9774445987600564,0.020866008078050377,0.8893847912276043,59.96
2000,ordinal_pooled_candidate_uncertified,0.9,100,46.16,1,0.67,0.9085295620037375,0.7932437495742756,0.9085295620037375,0.03851561075200051,,
2000,ordinal_pooled_candidate_uncertified,0.93,100,46.16,1,0.9,0.9401095040502527,0.8425918091554784,0.9401095040502527,0.03229872998051452,,
2000,ordinal_pooled_candidate_uncertified,0.95,100,46.16,1,0.95,0.9592957480466042,0.8837063500877709,0.9592957480466042,0.026775647935772313,,
2000,ordinal_pooled_candidate_uncertified,0.97,100,46.16,1,0.99,0.9774445987600564,0.954954396744308,0.9774445987600564,0.020866008078050377,,
5000,direct_pac_split_matched,,100,150.43,1,0.98,0.9521221272852715,0.8587183879187332,0.9521221272852715,0.018522839371063724,0.9051663950680645,144.34
5000,direct_pac_total_budget,,100,156.88,1,0.98,0.9511320974130986,0.8560667830594584,0.9511320974130986,0.017768220742791854,0.9040670169826178,150.23
5000,independent_mondrian_total_budget,,100,156.88,1,0.6,0.9038286973280777,0.7834855830572844,,,,
5000,ordinal_candidate_plus_cp_certification,0.9,100,150.43,0.2,1,0.9909726232290796,0.8613790688206283,0.9039073318474421,0.0480408266295693,0.8354606947575463,135.86
5000,ordinal_candidate_plus_cp_certification,0.93,100,150.43,0.44,1,0.984174371084963,0.8875231098208274,0.9366905690905738,0.0392565596570442,0.8766879074439096,140.76
