n_str,probability_floor,repetitions,mean_m4,mean_empirical_local_directional,mean_local_ucb,mean_dkw_ucb,mean_two_sample_ucb,p_local_ucb_below_alpha,p_rank_finite,p_guard_in_region,p_guard_feasible,p_oracle_guard_feasible
500,0.7,100,14.59,0.10717781641959945,0.542884124862795,0.8355599474784806,0.7877652808658298,0,0,0,0,1
500,0.8,100,14.59,0.08226532571900724,0.542884124862795,0.8355599474784806,0.7877652808658298,0,0,0,0,0.99
500,0.85,100,14.59,0.06818785568075486,0.5427839679569344,0.8355599474784806,0.7877652808658298,0,0,0,0,0.95
500,0.9,100,14.59,0.05327451684687928,0.5427839679569344,0.8355599474784806,0.7877652808658298,0,0,0,0,0.74
1000,0.7,100,29.58,0.07128557263188476,0.4317596039090424,0.5777263874366438,0.5398527506118607,0,0,0,0,1
1000,0.8,100,29.58,0.05825243539251798,0.4317596039090424,0.5777263874366438,0.5398527506118607,0,0,0,0,0.99
1000,0.85,100,29.58,0.05005506069422692,0.4317596039090424,0.5777263874366438,0.5398527506118607,0,0,0,0,0.95
1000,0.9,100,29.58,0.042523471572181344,0.4317596039090424,0.5777263874366438,0.5398527506118607,0,0,0,0,0.74
2000,0.7,100,61.13,0.05722347860463967,0.30866903284238745,0.41387035536634387,0.3868735473331798,0,0,0,0,1
2000,0.8,100,61.13,0.04936880094779127,0.30866903284238745,0.41387035536634387,0.3868735473331798,0,0,0,0,0.99
2000,0.85,100,61.13,0.043989280524865663,0.3084366002998244,0.41387035536634387,0.3868735473331798,0,0,0,0,0.95
2000,0.9,100,61.13,0.03644088104509983,0.30839288797629244,0.41387035536634387,0.3868735473331798,0,0,0,0,0.74
5000,0.7,100,148.94,0.03909762035673269,0.17881821650503404,0.26364607333533757,0.24663033613556196,0,0,0,0,1
5000,0.8,100,148.94,0.030782213431350375,0.1780631531803612,0.26364607333533757,0.24663033613556196,0,0,0,0,0.99
5000,0.85,100,148.94,0.026090710900632277,0.17785887189137659,0.26364607333533757,0.24663033613556196,0,0,0,0,0.95
5000,0.9,100,148.94,0.022641612773035162,0.17759939875859695,0.26364607333533757,0.24663033613556196,0,0,0,0,0.74
10000,0.7,100,300.98,0.03147385979829149,0.11304853195540615,0.18387540317151324,0.17183433977900384,0.17,0,0,0,1
10000,0.8,100,300.98,0.02500693909763819,0.11124176795297372,0.18387540317151324,0.17183433977900384,0.21,0,0,0,0.99
10000,0.85,100,300.98,0.022367659964386034,0.11041553074390684,0.18387540317151324,0.17183433977900384,0.21,0,0,0,0.95
10000,0.9,100,300.98,0.01828699105486999,0.10830728601549962,0.18387540317151324,0.17183433977900384,0.25,0,0,0,0.74
20000,0.7,100,601.06,0.026027120397963198,0.07609917083391658,0.1335489890639964,0.12503415490606953,0.93,0.63,0.63,0.63,1
20000,0.8,100,601.06,0.02050158218021827,0.07208107220658644,0.1335489890639964,0.12503415490606953,0.96,0.74,0.74,0.74,0.99
20000,0.85,100,601.06,0.01784626809223592,0.06969945826315019,0.1335489890639964,0.12503415490606953,0.98,0.79,0.79,0.79,0.95
20000,0.9,100,601.06,0.014153184696617577,0.06599923360860797,0.1335489890639964,0.12503415490606953,1,0.9,0.88,0.88,0.74
50000,0.7,100,1499.0,0.017001341985711675,0.04478899849261076,0.08362742956324595,0.0782465205300838,1,1,1,1,1
50000,0.8,100,1499.0,0.013815469539415403,0.04130215118098224,0.08362742956324595,0.0782465205300838,1,1,0.99,0.99,0.99
50000,0.85,100,1499.0,0.01183755082070648,0.03873439666917987,0.08362742956324595,0.0782465205300838,1,1,0.98,0.98,0.95
50000,0.9,100,1499.0,0.009815267748854852,0.0355926166540902,0.08362742956324595,0.0782465205300838,1,1,0.95,0.95,0.74
