rare_count,method,marginal_coverage,marginal_coverage_sd,worst_class_coverage,rare_class_coverage,mean_set_size,mean_set_size_sd,mean_ordinal_span,rare_infinite_rate,relative_size_vs_mondrian_pct,ordinal_vs_nonordinal_size_delta
100,independent_mondrian,0.902984,0.014263174401233404,0.8686658805327517,0.9065786739660903,1.651736,0.07533770838033234,1.651736,0,0.0,0.05855200000000016
100,ordinal_cluster,0.897848,0.01295373675817136,0.8641729381541168,0.9395991373839664,1.631084,0.07004372451547675,1.631084,0,-1.2503208745223275,0.037900000000000045
100,input_dependent_nonordinal,0.901756,0.011941744596163493,0.8619558093548934,0.8982422842100353,1.593184,0.050660704140388736,1.593184,0,-3.544876420929262,0.0
100,input_dependent_ordinal,0.9021,0.012632038631986522,0.8617797528297245,0.898944332097353,1.592756,0.05286566053687401,1.592756,0,-3.570788552165723,-0.0004279999999998729
50,independent_mondrian,0.900712,0.016228328811063696,0.8597804963130496,0.8905675800208452,1.64858,0.09392564931902254,1.64858,0,0.0,0.0504119999999999
50,ordinal_cluster,0.900628,0.015109679546568814,0.8717120085083023,0.9474239409439067,1.66122,0.08638303768680515,1.66122,0,0.7667204503269471,0.06305199999999989
50,input_dependent_nonordinal,0.900596,0.013746882701179927,0.856633039285935,0.8868884902857909,1.598168,0.05217445137229524,1.598168,0,-3.057904378313452,0.0
50,input_dependent_ordinal,0.900844,0.013012565619431088,0.8568584971330451,0.8903782148141437,1.598612,0.050718776168200266,1.598612,0,-3.030972109330455,0.00044399999999988893
20,independent_mondrian,0.903288,0.014518190520860378,0.8583456319450519,0.915691035808296,1.673796,0.08193257217981136,1.673796,0,0.0,0.06750000000000012
20,ordinal_cluster,0.90324,0.01509898009800661,0.8730777870916273,0.9619695687731508,1.682232,0.09221745049609645,1.682232,0,0.5040040721808325,0.075936
20,input_dependent_nonordinal,0.902396,0.016437347231229256,0.862040528026027,0.9085857254205872,1.606296,0.06323171659855518,1.606296,0,-4.032749510693066,0.0
20,input_dependent_ordinal,0.902036,0.01648799272197802,0.8614281787902768,0.9094872728743498,1.605176,0.064706495995379,1.605176,0,-4.099663280351974,-0.0011200000000000099
10,independent_mondrian,0.898744,0.013934649762372927,0.8424719820125091,0.9097074380400376,1.6673040000000001,0.0803208390394423,1.6673040000000001,0,0.0,0.05089200000000016
10,ordinal_cluster,0.899696,0.014079445443624546,0.8701361090441793,0.9541314028357599,1.65898,0.08054074496799742,1.65898,0,-0.49924908714908733,0.04256799999999994
10,input_dependent_nonordinal,0.902984,0.014352969866895136,0.8553763655058564,0.920592645760085,1.616412,0.06589995338389855,1.616412,0,-3.052352780296824,0.0
10,input_dependent_ordinal,0.902556,0.01475199186550752,0.8538817957373076,0.9170861253114372,1.61298,0.06765006725791187,1.61298,0,-3.2581940665889384,-0.0034319999999998796
5,independent_mondrian,0.906172,0.014885805856587005,0.869463536511215,1.0,2.540088,0.08777068449089365,3.644944,1,0.0,0.03659599999999985
5,ordinal_cluster,0.903252,0.014644797574565516,0.8740734979209971,0.9606786096883512,1.678268,0.09537829195367259,1.678268,0,-33.9287457757369,-0.825224
5,input_dependent_nonordinal,0.909048,0.013948221965540995,0.8747020038452674,1.0,2.503492,0.06420908608600502,3.622576,1,-1.4407374862603126,0.0
5,input_dependent_ordinal,0.908928,0.013686300303588259,0.8738149649552338,1.0,2.501624,0.06316104672976848,3.621412,1,-1.5142782454781027,-0.0018679999999999808
