rare_count,method,class_id,mean_coverage,coverage_sd,mean_set_size,set_size_sd,mean_ordinal_span,full_set_rate,mean_preliminary_threshold,preliminary_threshold_variance,mean_correction,correction_sd,final_threshold_variance,infinite_correction_rate,calibration_support
5,independent_mondrian,0,1.0,0.0,1.3537500122712212,0.13727077259389883,1.3539139714830073,0.0,0.0,0.0,inf,inf,inf,1,5
5,independent_mondrian,1,0.9008328553570356,0.03196555595399337,2.2871745130982717,0.07958642478186481,2.3384226222402726,0.0,0.0,0.0,0.5268621122699833,0.06707747711282493,0.0,0,100
5,independent_mondrian,2,0.8996724619403287,0.02798073061223548,2.8358810409026556,0.15042460110937408,3.496847761673434,0.0,0.0,0.0,0.4939188897814316,0.05104529308054196,0.0,0,100
5,independent_mondrian,3,0.8961892202703355,0.030442791498115972,2.843226083415585,0.10007459458160178,4.472776607743997,0.0,0.0,0.0,0.6087740567550842,0.06928501439156341,0.0,0,100
5,independent_mondrian,4,0.90801532323797,0.028759394094226332,2.448328211715068,0.09458184951987814,4.767150448920671,0.0,0.0,0.0,0.6329168177096488,0.06736714970199002,0.0,0,100
5,input_dependent_nonordinal,0,1.0,0.0,1.3316704949937572,0.057235331340210464,1.3316704949937572,0.0,0.341087985880667,0.02026080114340763,inf,inf,inf,1,5
5,input_dependent_nonordinal,1,0.9050177551819591,0.02706589124943961,2.2956580922000076,0.05456185725777819,2.337752586015998,1.646090534979424e-05,0.4977512135230541,0.022055643108220366,0.014691252959818286,0.03483824078381647,0.022055643108220366,0,100
5,input_dependent_nonordinal,2,0.9014303934217908,0.025340383883757606,2.7646314529738736,0.10482378710166497,3.45666151520009,6.997882559520735e-05,0.4743117441382376,0.02503234753025475,0.006284914628385665,0.03458562281728951,0.02503234753025475,0,100
5,input_dependent_nonordinal,3,0.9009719531300956,0.034111808003798524,2.775425805088737,0.07802629104556688,4.417588726927653,3.343084578782519e-05,0.5867088781599024,0.02519785954834437,0.01691991802540477,0.06360921184360854,0.02519785954834437,0,100
5,input_dependent_nonordinal,4,0.909360875540035,0.028692758634843604,2.4293531420529706,0.07305026986078828,4.77293226598287,1.718213058419244e-05,0.5888380829020416,0.02724881695849557,0.026912150643399205,0.05537424577110724,0.02724881695849557,0,100
5,input_dependent_ordinal,0,1.0,0.0,1.3315527708428363,0.05518439829772125,1.3315527708428363,0.0,0.414752689066603,0.02086426642340349,inf,inf,inf,1,5
5,input_dependent_ordinal,1,0.9048752859977267,0.02796738599910947,2.293395483901318,0.05325160003973258,2.3353860513377596,0.0,0.4631983467024256,0.0222964246658163,0.04943944437423677,0.03726100346932435,0.0222964246658163,0,100
5,input_dependent_ordinal,2,0.9009347928305207,0.02491602929605688,2.763232383125065,0.10327899394500256,3.4559983007418524,0.0,0.5103745817812924,0.02369935428003595,-0.03141681674503036,0.03251477699544379,0.02369935428003595,0,100
5,input_dependent_ordinal,3,0.9015709203781419,0.03446902164803398,2.7726518973136325,0.07704413101148239,4.416510253450016,0.0,0.5552395625362687,0.02553271478703601,0.048694722027183,0.06286963443012421,0.02553271478703601,0,100
5,input_dependent_ordinal,4,0.9088953440071071,0.028841498040165767,2.427987137267021,0.07301829948155322,4.772162076224556,0.0,0.6027277255764937,0.027221218237799622,0.01190089413058772,0.05203527417598509,0.027221218237799622,0,100
5,ordinal_cluster,0,0.9606786096883512,0.018449039442120705,1.2774225250405395,0.10546745752650241,1.2774225250405395,0.0,0.0,0.0,0.5286224486486317,0.06600239564407927,0.0,0,5
5,ordinal_cluster,1,0.8934892681832192,0.02537364412342607,1.7352433163607033,0.1515553615842849,1.7352433163607033,0.0,0.0,0.0,0.5075453419989445,0.04648267035101555,0.0,0,100
5,ordinal_cluster,2,0.9223780330177984,0.017656755792903364,1.793822790690164,0.12021596011690236,1.793822790690164,0.0,0.0,0.0,0.5400998420465224,0.038058718395257346,0.0,0,100
5,ordinal_cluster,3,0.8822479926564413,0.022200762919387565,1.8599558024841993,0.10218280619533132,1.8599558024841993,0.0,0.0,0.0,0.5737098002778007,0.040264032639783814,0.0,0,100
5,ordinal_cluster,4,0.9027799866491821,0.02222898465594675,1.4092672424189352,0.07384594301224406,1.4092672424189352,0.0,0.0,0.0,0.6152902840918136,0.04829839529195371,0.0,0,100
10,independent_mondrian,0,0.9097074380400376,0.08327073327500216,1.2651954203364768,0.13370533645189028,1.2651954203364768,0.0,0.0,0.0,0.4701947659378561,0.17539306228242862,0.0,0,10
10,independent_mondrian,1,0.89814576616173,0.030173925381087523,1.647573796807389,0.20507243551078183,1.647573796807389,0.0,0.0,0.0,0.524759039211038,0.05600166548177686,0.0,0,100
10,independent_mondrian,2,0.9054160712472722,0.0266153956489114,1.8558728329823797,0.12465073766666991,1.8558728329823797,0.0,0.0,0.0,0.5069520359886917,0.055374629130869546,0.0,0,100
10,independent_mondrian,3,0.899191653790499,0.03002149323980078,1.8172101083257273,0.10538119901788892,1.8172101083257273,0.0,0.0,0.0,0.6110137908043297,0.06462326259820733,0.0,0,100
