rare_count,method,marginal_coverage,marginal_coverage_sd,worst_class_coverage,rare_class_coverage,mean_set_size,mean_set_size_sd,mean_ordinal_span,rare_infinite_rate,relative_size_vs_mondrian_pct,ordinal_vs_nonordinal_size_delta
100,independent_mondrian,0.902008,0.014339314349019621,0.8603519703451254,0.8900291449164774,1.957972,0.08475815958360587,1.957972,0,0.0,0.060324000000000044
100,ordinal_cluster,0.8985,0.01567526714285917,0.8389854990241286,0.9176749634124337,1.932524,0.10146514585807287,1.932524,0,-1.29971215114415,0.03487599999999991
100,input_dependent_nonordinal,0.903344,0.01682236796649034,0.8599302093101869,0.8935602865406109,1.897648,0.0754155587130401,1.897648,0,-3.080942934832574,0.0
100,input_dependent_ordinal,0.903372,0.01675747045350222,0.8591662366248956,0.8938580034965179,1.897724,0.0751856889574073,1.897724,0,-3.077061367578294,7.599999999996498e-05
50,independent_mondrian,0.904824,0.014585726721696104,0.8631613169937383,0.9026882503818878,1.980124,0.08544884682662486,1.980124,0,0.0,0.07845199999999997
50,ordinal_cluster,0.902764,0.01518608257583239,0.8431386813680076,0.9237028012572103,1.95492,0.09531679390327816,1.95492,0,-1.2728495791172676,0.05324799999999996
50,input_dependent_nonordinal,0.903316,0.013943032094921102,0.8622021381588637,0.9072942583696496,1.901672,0.0709943069266825,1.901672,0,-3.9619740985918037,0.0
50,input_dependent_ordinal,0.9036959999999999,0.013988809241676003,0.8617640522089771,0.9060842328215637,1.901548,0.07129098467548334,1.901548,0,-3.968236332674114,-0.000124000000000013
20,independent_mondrian,0.90092,0.01829548578201738,0.8512757371277732,0.9064124341810613,1.970852,0.11733551080555281,1.970852,0,0.0,0.08675999999999995
20,ordinal_cluster,0.899576,0.0162642006873993,0.8321413682605112,0.93133576004554,1.946504,0.10269605047907149,1.946504,0,-1.235404789400728,0.06241199999999991
20,input_dependent_nonordinal,0.899556,0.019158216618464254,0.8497111397688428,0.897386661534294,1.884092,0.09855244459677295,1.884092,0,-4.402157036652166,0.0
20,input_dependent_ordinal,0.899692,0.019090907154978257,0.8499407284324814,0.8969167903702413,1.883064,0.09888871676789014,1.883064,0,-4.4543172191519185,-0.0010280000000000289
10,independent_mondrian,0.903824,0.011995641875281203,0.8547930087606025,0.9204376969419685,2.009512,0.09506337389341912,2.009524,0,0.0,0.10132399999999997
10,ordinal_cluster,0.903116,0.01202764083268202,0.8369897334442485,0.9352271898020719,1.969476,0.07717220110894855,1.969476,0,-1.9923245046558549,0.06128800000000001
10,input_dependent_nonordinal,0.900664,0.016309331807281377,0.846477797016977,0.9087719609934257,1.908188,0.09467001561212506,1.908444,0,-5.042219205458836,0.0
10,input_dependent_ordinal,0.899964,0.016145423624049016,0.8500495298196765,0.9150026136353802,1.904328,0.09142557856530086,1.904768,0,-5.23430564236491,-0.0038599999999999746
5,independent_mondrian,0.905528,0.01528726319522236,0.8642419740480894,1.0,2.815592,0.08027952127410827,3.8021760000000002,1,0.0,0.0558200000000002
5,ordinal_cluster,0.902148,0.015260763283663109,0.835612283766321,0.9358652409908991,1.965432,0.08830207571739186,1.965432,0,-30.194715711651405,-0.7943399999999998
5,input_dependent_nonordinal,0.907672,0.013729428830071557,0.8719703723519021,1.0,2.759772,0.056600240423517675,3.768924,1,-1.9825315599703437,0.0
5,input_dependent_ordinal,0.9074800000000001,0.014916460706213115,0.8719303689237674,1.0,2.756116,0.060415085400916196,3.76762,1,-2.1123799186814027,-0.0036559999999998816
