rare_count,method,class_id,mean_coverage,coverage_sd,mean_set_size,set_size_sd,mean_ordinal_span,full_set_rate,mean_preliminary_threshold,preliminary_threshold_variance,mean_correction,correction_sd,final_threshold_variance,infinite_correction_rate,calibration_support
5,independent_mondrian,0,1.0,0.0,1.4873299351746827,0.09921171385649767,1.4879557617107655,0.0,0.0,0.0,inf,inf,inf,1,5
5,independent_mondrian,1,0.9027150349492797,0.030740176966522193,2.6614258640239963,0.0845205923966742,2.710281538524786,0.0,0.0,0.0,0.5484187422269862,0.054487881765501754,0.0,0,100
5,independent_mondrian,2,0.8970368748836498,0.03196108594824856,3.0045326559302796,0.08693578072359726,3.6126478705059877,0.0,0.0,0.0,0.7746445498269482,0.0730544843369761,0.0,0,100
5,independent_mondrian,3,0.8978575408974853,0.03365036442760347,3.300007789575782,0.12103698988745622,4.616133442629317,0.0,0.0,0.0,0.6092192725509844,0.06616125099849761,0.0,0,100
5,independent_mondrian,4,0.9050207355083697,0.03343517010348538,2.572861052595587,0.0858998510195861,4.755332305201537,0.0,0.0,0.0,0.7480927673141005,0.07722645168704743,0.0,0,100
5,input_dependent_nonordinal,0,1.0,0.0,1.4667199991938877,0.06511195420554083,1.4668096852925425,0.0,0.4463973202601203,0.020808373681241294,inf,inf,inf,1,5
5,input_dependent_nonordinal,1,0.9028908105976221,0.028526723229020768,2.628981429412058,0.07567765328891277,2.676915187902168,0.00022298586717596876,0.5165185775884128,0.02178547251022493,0.006653666840253524,0.0375071408182269,0.02178547251022493,0,100
5,input_dependent_nonordinal,2,0.9019333800979067,0.02640562670393467,2.9401183557061037,0.06189135920258839,3.5835759791656177,0.0008774775070805352,0.7502550962215723,0.023510308170531128,0.01915434715473851,0.054711242265810124,0.023510308170531128,0,100
5,input_dependent_nonordinal,3,0.9039919458473465,0.02828356713377448,3.1937229781420386,0.09046568368410306,4.544237106107195,0.0008542748011499849,0.5853399273778953,0.0253813405862447,0.009039681468138057,0.04871348387210743,0.0253813405862447,0,100
5,input_dependent_nonordinal,4,0.902925564635151,0.03274846644285217,2.5451619313945892,0.054320021262476675,4.753439974537488,0.00017056301382391306,0.7087664473481217,0.027542093281776862,0.01811889286451534,0.06448860362573627,0.027542093281776862,0,100
