rare_count,method,marginal_coverage,worst_class_coverage,rare_class_coverage,mean_set_size,mean_ordinal_span,rare_correction_infinite_rate
100,independent_mondrian,0.904092,0.8669630144504661,0.9020775530689382,1.9831940000000001,1.9831940000000001,0
100,input_dependent_structured_mondrian,0.901892,0.8668129828819079,0.9003089693351894,1.842922,1.842922,0
50,independent_mondrian,0.899028,0.8548954767331678,0.8996003402273,1.9544300000000001,1.9544300000000001,0
50,input_dependent_structured_mondrian,0.8994260000000001,0.8588709990687263,0.9011578863160085,1.83319,1.83319,0
20,independent_mondrian,0.900402,0.8501349414476891,0.9008692765124854,1.976104,1.976104,0
20,input_dependent_structured_mondrian,0.900534,0.855889462564975,0.9040816459096913,1.844032,1.844032,0
10,independent_mondrian,0.903468,0.8424982532910673,0.8929867682342396,2.017446,2.017446,0
10,input_dependent_structured_mondrian,0.903702,0.8437278895675656,0.8862018862382267,1.867342,1.867342,0
5,independent_mondrian,0.905042,0.8631676432516107,1.0,2.815994,3.795252,1
5,input_dependent_structured_mondrian,0.9068,0.8684193726131741,1.0,2.7103580000000003,3.738242,1
