rare_count,method,marginal_coverage,worst_class_coverage,rare_class_coverage,mean_set_size,mean_ordinal_span,rare_class_infinite_threshold_rate
100,independent_mondrian,0.900496,0.8646063327940827,0.8973878637640211,0.974254,0.974254,0
100,ordinal_cluster,0.89892,0.8725167170262067,0.9332302515895251,0.9656399999999999,0.9656399999999999,0
100,linear_structured_final_mondrian,0.90116,0.8483329886743585,0.9022961878213253,0.97935,0.97935,0
50,independent_mondrian,0.900606,0.8591260470538374,0.9087325208409783,0.971026,0.971026,0
50,ordinal_cluster,0.9004800000000001,0.8736544089840755,0.9493829766061879,0.964414,0.964414,0
50,linear_structured_final_mondrian,0.905118,0.8533826610768362,0.9276365374773222,0.984656,0.984656,0
20,independent_mondrian,0.90429,0.8592038756772549,0.9055014934513864,0.978976,0.978976,0
20,ordinal_cluster,0.906572,0.8770313658025778,0.9554782242705371,0.973868,0.973868,0
20,linear_structured_final_mondrian,0.904894,0.831259678785963,0.8990372749008813,0.987652,0.987652,0
10,independent_mondrian,0.903078,0.852327568354868,0.9015181090031329,0.977356,0.977356,0
10,ordinal_cluster,0.907434,0.8758777077587748,0.9529013616418609,0.975044,0.975044,0
10,linear_structured_final_mondrian,0.906728,0.8609986314729524,1.0,1.935716,3.287216,1
5,independent_mondrian,0.903442,0.8695025401505321,1.0,1.924092,3.280972,1
5,ordinal_cluster,0.902142,0.8672449753450703,0.9595613903346301,0.96742,0.96742,0
5,linear_structured_final_mondrian,0.906236,0.8617756380283023,1.0,1.93284,3.288174,1
