scenario,eta,class_id,directed_radius,directed_cost,symmetric_radius,symmetric_cost
strong_smoothness,0.0,0,4,0.0,0,0.0
strong_smoothness,0.0,1,0,0.0,0,0.0
strong_smoothness,0.0,2,0,0.0,0,0.0
strong_smoothness,0.0,3,0,0.0,0,0.0
strong_smoothness,0.0,4,0,0.0,0,0.0
strong_smoothness,0.005,0,4,0.0,1,0.004533316949125432
strong_smoothness,0.005,1,3,0.002991989186422785,0,0.0
strong_smoothness,0.005,2,1,0.003721379585102967,0,0.0
strong_smoothness,0.005,3,1,0.004875834229726019,0,0.0
strong_smoothness,0.005,4,0,0.0,0,0.0
strong_smoothness,0.01,0,4,0.0,2,0.00893711055684728
strong_smoothness,0.01,1,3,0.002991989186422785,2,0.009459209798999873
strong_smoothness,0.01,2,2,0.008477302694864557,1,0.006698483253185341
strong_smoothness,0.01,3,1,0.004875834229726019,1,0.005540720715597749
strong_smoothness,0.01,4,1,0.00867243242441387,1,0.00867243242441387
strong_smoothness,0.02,0,4,0.0,4,0.014062349176187093
strong_smoothness,0.02,1,3,0.002991989186422785,3,0.010073030260956711
strong_smoothness,0.02,2,2,0.008477302694864557,2,0.011070359989764304
strong_smoothness,0.02,3,3,0.01615674160668304,3,0.016455940525325317
strong_smoothness,0.02,4,3,0.019804118900607962,3,0.019804118900607962
strong_smoothness,0.05,0,4,0.0,4,0.014062349176187093
strong_smoothness,0.05,1,3,0.002991989186422785,3,0.010073030260956711
strong_smoothness,0.05,2,2,0.008477302694864557,2,0.011070359989764304
strong_smoothness,0.05,3,3,0.01615674160668304,3,0.016455940525325317
strong_smoothness,0.05,4,4,0.025830839976116713,4,0.025830839976116713
moderate_smoothness,0.0,0,4,0.0,0,0.0
moderate_smoothness,0.0,1,0,0.0,0,0.0
moderate_smoothness,0.0,2,0,0.0,0,0.0
moderate_smoothness,0.0,3,0,0.0,0,0.0
moderate_smoothness,0.0,4,0,0.0,0,0.0
moderate_smoothness,0.005,0,4,0.0,0,0.0
moderate_smoothness,0.005,1,0,0.0,0,0.0
moderate_smoothness,0.005,2,0,0.0,0,0.0
moderate_smoothness,0.005,3,0,0.0,0,0.0
moderate_smoothness,0.005,4,0,0.0,0,0.0
moderate_smoothness,0.01,0,4,0.0,0,0.0
moderate_smoothness,0.01,1,0,0.0,0,0.0
moderate_smoothness,0.01,2,0,0.0,0,0.0
moderate_smoothness,0.01,3,0,0.0,0,0.0
moderate_smoothness,0.01,4,0,0.0,0,0.0
moderate_smoothness,0.02,0,4,0.0,0,0.0
moderate_smoothness,0.02,1,0,0.0,0,0.0
moderate_smoothness,0.02,2,0,0.0,0,0.0
moderate_smoothness,0.02,3,0,0.0,0,0.0
moderate_smoothness,0.02,4,0,0.0,0,0.0
moderate_smoothness,0.05,0,4,0.0,1,0.03169359753065035
moderate_smoothness,0.05,1,3,0.02091777437022923,1,0.04708763061696617
moderate_smoothness,0.05,2,1,0.026017132301280062,1,0.046830838142304175
moderate_smoothness,0.05,3,1,0.03408822489963281,1,0.0387366192041282
moderate_smoothness,0.05,4,0,0.0,0,0.0
local_discontinuity,0.0,0,4,0.0,0,0.0
local_discontinuity,0.0,1,0,0.0,0,0.0
local_discontinuity,0.0,2,0,0.0,0,0.0
local_discontinuity,0.0,3,0,0.0,0,0.0
local_discontinuity,0.0,4,0,0.0,0,0.0
local_discontinuity,0.005,0,4,0.0,1,0.004533316949125432
local_discontinuity,0.005,1,3,0.002991989186422785,0,0.0
local_discontinuity,0.005,2,1,0.003721379585102967,0,0.0
local_discontinuity,0.005,3,0,0.0,0,0.0
local_discontinuity,0.005,4,0,0.0,0,0.0
local_discontinuity,0.01,0,4,0.0,2,0.00893711055684728
local_discontinuity,0.01,1,3,0.002991989186422785,1,0.006735213752986356
local_discontinuity,0.01,2,2,0.008477302694864557,0,0.0
local_discontinuity,0.01,3,0,0.0,0,0.0
local_discontinuity,0.01,4,1,0.00867243242441387,1,0.00867243242441387
local_discontinuity,0.02,0,4,0.0,2,0.00893711055684728
local_discontinuity,0.02,1,3,0.002991989186422785,1,0.006735213752986356
local_discontinuity,0.02,2,2,0.008477302694864557,0,0.0
local_discontinuity,0.02,3,0,0.0,0,0.0
local_discontinuity,0.02,4,1,0.00867243242441387,1,0.00867243242441387
local_discontinuity,0.05,0,4,0.0,2,0.00893711055684728
local_discontinuity,0.05,1,3,0.002991989186422785,1,0.006735213752986356
local_discontinuity,0.05,2,2,0.008477302694864557,0,0.0
local_discontinuity,0.05,3,0,0.0,0,0.0
local_discontinuity,0.05,4,1,0.00867243242441387,1,0.00867243242441387
no_ordinal_structure,0.0,0,1,0.0,0,0.0
no_ordinal_structure,0.0,1,0,0.0,0,0.0
no_ordinal_structure,0.0,2,1,0.0,0,0.0
no_ordinal_structure,0.0,3,0,0.0,0,0.0
no_ordinal_structure,0.0,4,1,0.0,0,0.0
no_ordinal_structure,0.005,0,1,0.0,0,0.0
no_ordinal_structure,0.005,1,0,0.0,0,0.0
no_ordinal_structure,0.005,2,1,0.0,0,0.0
no_ordinal_structure,0.005,3,0,0.0,0,0.0
no_ordinal_structure,0.005,4,1,0.0,0,0.0
no_ordinal_structure,0.01,0,1,0.0,0,0.0
no_ordinal_structure,0.01,1,0,0.0,0,0.0
no_ordinal_structure,0.01,2,1,0.0,0,0.0
no_ordinal_structure,0.01,3,0,0.0,0,0.0
no_ordinal_structure,0.01,4,1,0.0,0,0.0
no_ordinal_structure,0.02,0,1,0.0,0,0.0
no_ordinal_structure,0.02,1,0,0.0,0,0.0
no_ordinal_structure,0.02,2,1,0.0,0,0.0
no_ordinal_structure,0.02,3,0,0.0,0,0.0
no_ordinal_structure,0.02,4,1,0.0,0,0.0
no_ordinal_structure,0.05,0,1,0.0,0,0.0
no_ordinal_structure,0.05,1,0,0.0,0,0.0
no_ordinal_structure,0.05,2,1,0.0,0,0.0
no_ordinal_structure,0.05,3,0,0.0,0,0.0
no_ordinal_structure,0.05,4,1,0.0,0,0.0
