scenario,n_cal,method,eta,class_id,repetitions,mean_own_support,mean_pooled_support,mean_radius,mean_cost,mean_global_cost,mean_oracle_cost,mean_ding_cluster_cost,guarantee_floor,mean_actual_coverage,finite_rate
local_discontinuity,200,independent_mondrian,,4,46,3.869565217391304,3.869565217391304,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
local_discontinuity,200,v0_1_global_L,0.0,4,46,3.869565217391304,3.869565217391304,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
local_discontinuity,200,v0_1_global_L,0.005,4,46,3.869565217391304,3.869565217391304,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
local_discontinuity,200,v0_1_global_L,0.01,4,46,3.869565217391304,3.869565217391304,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
local_discontinuity,200,v0_1_global_L,0.02,4,46,3.869565217391304,3.869565217391304,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
local_discontinuity,200,v0_1_global_L,0.05,4,46,3.869565217391304,3.869565217391304,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
local_discontinuity,200,v0_2_local_path,0.0,4,46,3.869565217391304,3.869565217391304,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
local_discontinuity,200,v0_2_local_path,0.005,4,46,3.869565217391304,3.869565217391304,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
local_discontinuity,200,v0_2_local_path,0.01,4,46,3.869565217391304,44.82608695652174,1.0,0.00867243242441387,0.46221562571705227,0.008672432403167452,0.009973297288075951,0.8913275675755862,0.9024865516233621,1
local_discontinuity,200,v0_2_local_path,0.02,4,46,3.869565217391304,44.82608695652174,1.0,0.00867243242441387,0.46221562571705227,0.008672432403167452,0.009973297288075951,0.8913275675755862,0.9024865516233621,1
local_discontinuity,200,v0_2_local_path,0.05,4,46,3.869565217391304,44.82608695652174,1.0,0.00867243242441387,0.46221562571705227,0.008672432403167452,0.009973297288075951,0.8913275675755862,0.9024865516233621,1
local_discontinuity,400,independent_mondrian,,4,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
local_discontinuity,400,v0_1_global_L,0.0,4,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
local_discontinuity,400,v0_1_global_L,0.005,4,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
local_discontinuity,400,v0_1_global_L,0.01,4,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
local_discontinuity,400,v0_1_global_L,0.02,4,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
local_discontinuity,400,v0_1_global_L,0.05,4,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
local_discontinuity,400,v0_2_local_path,0.0,4,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
local_discontinuity,400,v0_2_local_path,0.005,4,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
local_discontinuity,400,v0_2_local_path,0.01,4,1,5.0,79.0,1.0,0.00867243242441387,0.46221562571705227,0.008672432403167452,0.009973297288075951,0.8913275675755862,0.8610786560498545,1
local_discontinuity,400,v0_2_local_path,0.02,4,1,5.0,79.0,1.0,0.00867243242441387,0.46221562571705227,0.008672432403167452,0.009973297288075951,0.8913275675755862,0.8610786560498545,1
local_discontinuity,400,v0_2_local_path,0.05,4,1,5.0,79.0,1.0,0.00867243242441387,0.46221562571705227,0.008672432403167452,0.009973297288075951,0.8913275675755862,0.8610786560498545,1
moderate_smoothness,200,independent_mondrian,,4,44,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
moderate_smoothness,200,v0_1_global_L,0.0,4,44,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
moderate_smoothness,200,v0_1_global_L,0.005,4,44,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
moderate_smoothness,200,v0_1_global_L,0.01,4,44,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
moderate_smoothness,200,v0_1_global_L,0.02,4,44,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
moderate_smoothness,200,v0_1_global_L,0.05,4,44,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
moderate_smoothness,200,v0_2_local_path,0.0,4,44,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
moderate_smoothness,200,v0_2_local_path,0.005,4,44,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
moderate_smoothness,200,v0_2_local_path,0.01,4,44,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
moderate_smoothness,200,v0_2_local_path,0.02,4,44,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
moderate_smoothness,200,v0_2_local_path,0.05,4,44,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
no_ordinal_structure,200,independent_mondrian,,4,50,3.9,3.9,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
no_ordinal_structure,200,v0_1_global_L,0.0,4,50,3.9,3.9,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
no_ordinal_structure,200,v0_1_global_L,0.005,4,50,3.9,3.9,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
no_ordinal_structure,200,v0_1_global_L,0.01,4,50,3.9,3.9,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
no_ordinal_structure,200,v0_1_global_L,0.02,4,50,3.9,3.9,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
no_ordinal_structure,200,v0_1_global_L,0.05,4,50,3.9,3.9,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
no_ordinal_structure,200,v0_2_local_path,0.0,4,50,3.9,43.72,1.0,0.0,0.8299997705249057,0.0,0.9544997361036416,0.9,0.999999835262922,1
no_ordinal_structure,200,v0_2_local_path,0.005,4,50,3.9,43.72,1.0,0.0,0.8299997705249057,0.0,0.9544997361036416,0.9,0.999999835262922,1
no_ordinal_structure,200,v0_2_local_path,0.01,4,50,3.9,43.72,1.0,0.0,0.8299997705249057,0.0,0.9544997361036416,0.9,0.999999835262922,1
no_ordinal_structure,200,v0_2_local_path,0.02,4,50,3.9,43.72,1.0,0.0,0.8299997705249057,0.0,0.9544997361036416,0.9,0.999999835262922,1
no_ordinal_structure,200,v0_2_local_path,0.05,4,50,3.9,43.72,1.0,0.0,0.8299997705249057,0.0,0.9544997361036416,0.9,0.999999835262922,1
no_ordinal_structure,400,independent_mondrian,,4,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
no_ordinal_structure,400,v0_1_global_L,0.0,4,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
no_ordinal_structure,400,v0_1_global_L,0.005,4,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
no_ordinal_structure,400,v0_1_global_L,0.01,4,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
no_ordinal_structure,400,v0_1_global_L,0.02,4,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
no_ordinal_structure,400,v0_1_global_L,0.05,4,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
no_ordinal_structure,400,v0_2_local_path,0.0,4,1,5.0,84.0,1.0,0.0,0.8299997705249057,0.0,0.9544997361036416,0.9,0.999999968816622,1
no_ordinal_structure,400,v0_2_local_path,0.005,4,1,5.0,84.0,1.0,0.0,0.8299997705249057,0.0,0.9544997361036416,0.9,0.999999968816622,1
no_ordinal_structure,400,v0_2_local_path,0.01,4,1,5.0,84.0,1.0,0.0,0.8299997705249057,0.0,0.9544997361036416,0.9,0.999999968816622,1
no_ordinal_structure,400,v0_2_local_path,0.02,4,1,5.0,84.0,1.0,0.0,0.8299997705249057,0.0,0.9544997361036416,0.9,0.999999968816622,1
no_ordinal_structure,400,v0_2_local_path,0.05,4,1,5.0,84.0,1.0,0.0,0.8299997705249057,0.0,0.9544997361036416,0.9,0.999999968816622,1
strong_smoothness,200,independent_mondrian,,4,47,3.8297872340425534,3.8297872340425534,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
strong_smoothness,200,v0_1_global_L,0.0,4,47,3.8297872340425534,3.8297872340425534,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
strong_smoothness,200,v0_1_global_L,0.005,4,47,3.8297872340425534,3.8297872340425534,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
strong_smoothness,200,v0_1_global_L,0.01,4,47,3.8297872340425534,45.276595744680854,1.0,0.00867243242441387,0.00867243242441387,0.008672431937807368,0.009973297288075951,0.8913275675755862,0.8979336416137955,1
strong_smoothness,200,v0_1_global_L,0.02,4,47,3.8297872340425534,141.27659574468086,3.0,0.019804118900607962,0.019804118900607962,0.01980058850864047,0.029913659851819575,0.8801958810993921,0.8940367065660608,1
strong_smoothness,200,v0_1_global_L,0.05,4,47,3.8297872340425534,200.0,4.0,0.025830839976116717,0.025830839976116717,0.025822403772904734,0.03987761167674496,0.8741691600238833,0.8906159033961445,1
strong_smoothness,200,v0_2_local_path,0.0,4,47,3.8297872340425534,3.8297872340425534,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
strong_smoothness,200,v0_2_local_path,0.005,4,47,3.8297872340425534,3.8297872340425534,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
strong_smoothness,200,v0_2_local_path,0.01,4,47,3.8297872340425534,45.276595744680854,1.0,0.00867243242441387,0.00867243242441387,0.008672431937807368,0.009973297288075951,0.8913275675755862,0.8979336416137955,1
strong_smoothness,200,v0_2_local_path,0.02,4,47,3.8297872340425534,141.27659574468086,3.0,0.019804118900607962,0.019804118900607962,0.01980058850864047,0.029913659851819575,0.8801958810993921,0.8940367065660608,1
strong_smoothness,200,v0_2_local_path,0.05,4,47,3.8297872340425534,200.0,4.0,0.025830839976116713,0.025830839976116717,0.025822403772904734,0.03987761167674496,0.8741691600238833,0.8906159033961445,1
strong_smoothness,400,independent_mondrian,,4,3,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
strong_smoothness,400,v0_1_global_L,0.0,4,3,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
strong_smoothness,400,v0_1_global_L,0.005,4,3,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0
strong_smoothness,400,v0_1_global_L,0.01,4,3,5.0,85.33333333333333,1.0,0.00867243242441387,0.00867243242441387,0.008672431937807368,0.009973297288075951,0.8913275675755862,0.8792285263016196,1
strong_smoothness,400,v0_1_global_L,0.02,4,3,5.0,278.6666666666667,3.0,0.019804118900607962,0.019804118900607962,0.01980058850864047,0.029913659851819575,0.8801958810993921,0.8796682717947171,1
strong_smoothness,400,v0_1_global_L,0.05,4,3,5.0,400.0,4.0,0.025830839976116717,0.025830839976116717,0.025822403772904734,0.03987761167674496,0.8741691600238833,0.8794780862412995,1
