n_str,repetition,class_j,class_k,true_ks,final_certificate,certificate_covers_true_ks,simultaneous_certificate_covers_all_pairs
500,0,0,1,0.009973297288075951,0.3546212015974265,1,1
500,0,0,2,0.019945036390476102,0.34949010085144605,1,1
500,0,0,3,0.029913659851819575,0.37982539076052885,1,1
500,0,0,4,0.03987761167674496,0.8813727501614761,1,1
500,0,1,2,0.009973297288075951,0.4065829027397534,1,1
500,0,1,3,0.019945036390476102,0.42919569596613405,1,1
500,0,1,4,0.029913659851819575,0.9169413671109643,1,1
500,0,2,3,0.009973297288075951,0.3958310401573303,1,1
500,0,2,4,0.019945036390476102,0.8750852930546448,1,1
500,0,3,4,0.009973297288075951,0.9025143274258931,1,1
1000,0,0,1,0.009973297288075951,0.2670422185248402,1,1
1000,0,0,2,0.019945036390476102,0.28237332923309433,1,1
1000,0,0,3,0.029913659851819575,0.29181714608743003,1,1
1000,0,0,4,0.03987761167674496,0.6899527017341821,1,1
1000,0,1,2,0.009973297288075951,0.2750712210542071,1,1
1000,0,1,3,0.019945036390476102,0.30822456886661154,1,1
1000,0,1,4,0.029913659851819575,0.6494807686833188,1,1
1000,0,2,3,0.009973297288075951,0.3094144310684525,1,1
1000,0,2,4,0.019945036390476102,0.6355634364540864,1,1
1000,0,3,4,0.009973297288075951,0.6908198380219938,1,1
2000,0,0,1,0.009973297288075951,0.17367647320698099,1,1
2000,0,0,2,0.019945036390476102,0.1917394386489215,1,1
2000,0,0,3,0.029913659851819575,0.2071774621189336,1,1
2000,0,0,4,0.03987761167674496,0.41312661072980816,1,1
2000,0,1,2,0.009973297288075951,0.19918704649248925,1,1
2000,0,1,3,0.019945036390476102,0.21535135977964595,1,1
2000,0,1,4,0.029913659851819575,0.41153253988006055,1,1
2000,0,2,3,0.009973297288075951,0.2195936792284152,1,1
2000,0,2,4,0.019945036390476102,0.4256404349417583,1,1
2000,0,3,4,0.009973297288075951,0.4099246237349937,1,1
5000,0,0,1,0.009973297288075951,0.12067493041764041,1,1
5000,0,0,2,0.019945036390476102,0.14598796226991784,1,1
5000,0,0,3,0.029913659851819575,0.1477174328739834,1,1
5000,0,0,4,0.03987761167674496,0.3408945820247594,1,1
5000,0,1,2,0.009973297288075951,0.1285207739144564,1,1
5000,0,1,3,0.019945036390476102,0.13234971795209266,1,1
5000,0,1,4,0.029913659851819575,0.33010553619109695,1,1
5000,0,2,3,0.009973297288075951,0.12965174861939985,1,1
5000,0,2,4,0.019945036390476102,0.30495943476854614,1,1
5000,0,3,4,0.009973297288075951,0.31902348534959674,1,1
10000,0,0,1,0.009973297288075951,0.09774598499948753,1,1
10000,0,0,2,0.019945036390476102,0.10525884908790754,1,1
10000,0,0,3,0.029913659851819575,0.1283753915471593,1,1
10000,0,0,4,0.03987761167674496,0.21407661146058515,1,1
10000,0,1,2,0.009973297288075951,0.09181289245460497,1,1
10000,0,1,3,0.019945036390476102,0.11119621242699373,1,1
10000,0,1,4,0.029913659851819575,0.20272776987946506,1,1
10000,0,2,3,0.009973297288075951,0.10581329276834453,1,1
10000,0,2,4,0.019945036390476102,0.1997765842163028,1,1
10000,0,3,4,0.009973297288075951,0.19114894369409874,1,1
20000,0,0,1,0.009973297288075951,0.06910811546892665,1,1
