n_str,repetition,m4,e4,n4,h4,epsilon4,epsilon4_h0,epsilon4_h1,epsilon4_h2,alpha_minus_epsilon4,N4_star,mondrian_rank,approx_rank,certified_rank,mondrian_finite,approx_finite,certified_finite,mondrian_coverage,approx_coverage,certified_coverage
500,0,9,0.5425412102395765,2,0,0.0,0.0,0.9025143274258931,0.9025143274258931,0.1,2,,,,0,0,0,1.0,1.0,1.0
1000,0,29,0.3022421205312754,2,0,0.0,0.0,0.6908198380219936,0.6908198380219936,0.1,2,,,,0,0,0,1.0,1.0,1.0
2000,0,61,0.20839585138227815,2,0,0.0,0.0,0.4099246237349937,0.42564043494175824,0.1,2,,,,0,0,0,1.0,1.0,1.0
5000,0,152,0.13201770922060185,2,0,0.0,0.0,0.31902348534959674,0.31902348534959674,0.1,2,,,,0,0,0,1.0,1.0,1.0
10000,0,285,0.09641210310704186,2,0,0.0,0.0,0.19114894369409874,0.1997765842163028,0.1,2,,,,0,0,0,1.0,1.0,1.0
20000,0,616,0.06557882492117587,2,0,0.0,0.0,0.15850385467644731,0.1644607754001907,0.1,2,,,,0,0,0,1.0,1.0,1.0
50000,0,1524,0.0416928423025004,2,1,0.09821497113026793,0.0,0.09821497113026793,0.10549955635353597,0.001785028869732072,45,,42,,0,1,0,1.0,0.8829187396351575,1.0
500,1,8,0.5754518532503412,2,0,0.0,0.0,1.0,1.0,0.1,2,,,,0,0,0,1.0,1.0,1.0
1000,1,15,0.42025061437781924,2,0,0.0,0.0,0.8957815224817529,0.8957815224817529,0.1,2,,,,0,0,0,1.0,1.0,1.0
2000,1,41,0.2541921053481353,2,0,0.0,0.0,0.5222196283474864,0.5222196283474864,0.1,2,,,,0,0,0,1.0,1.0,1.0
5000,1,134,0.14060526633080056,2,0,0.0,0.0,0.3153017479189546,0.3153017479189546,0.1,2,,,,0,0,0,1.0,1.0,1.0
10000,1,316,0.09156098270914645,2,0,0.0,0.0,0.17201654833166263,0.173700553160185,0.1,2,,,,0,0,0,1.0,1.0,1.0
20000,1,609,0.06595463788278744,2,0,0.0,0.0,0.15175457688811386,0.1633401535943994,0.1,2,,,,0,0,0,1.0,1.0,1.0
50000,1,1520,0.04174766526149143,2,2,0.08471544195447149,0.0,0.07808358907896182,0.08471544195447149,0.015284558045528515,81,,74,81,0,1,1,1.0,0.9457364341085271,0.9780361757105943
500,2,17,0.39475671460027256,4,0,0.0,0.0,0.7706712908040598,0.7890484055061842,0.1,4,,,,0,0,0,1.0,1.0,1.0
1000,2,26,0.319203255916136,4,0,0.0,0.0,0.5242617618866448,0.6255033947893004,0.1,4,,,,0,0,0,1.0,1.0,1.0
2000,2,57,0.21558401640106428,4,0,0.0,0.0,0.42856060525950634,0.5263551357643026,0.1,4,,,,0,0,0,1.0,1.0,1.0
5000,2,158,0.12948678353148335,4,0,0.0,0.0,0.2627722944665577,0.28276068954387307,0.1,4,,,,0,0,0,1.0,1.0,1.0
10000,2,288,0.09590864220839021,4,0,0.0,0.0,0.1887479335234669,0.19837078220000648,0.1,4,,,,0,0,0,1.0,1.0,1.0
20000,2,556,0.06902661726305735,4,0,0.0,0.0,0.1230310800434515,0.13117868096328988,0.1,4,,,,0,0,0,1.0,1.0,1.0
50000,2,1463,0.042553160699194466,4,2,0.07721772923323973,0.0,0.0750641134905706,0.07721772923323973,0.022782270766760274,98,,90,97,0,1,1,1.0,0.8377460964019009,0.9585879158180584
500,3,17,0.39475671460027256,6,0,0.0,0.0,0.6780112179253508,0.7082347716414232,0.1,6,,,,0,0,0,1.0,1.0,1.0
1000,3,35,0.275118607319722,6,0,0.0,0.0,0.5868489668393548,0.5868489668393548,0.1,6,,,,0,0,0,1.0,1.0,1.0
2000,3,61,0.20839585138227815,6,0,0.0,0.0,0.3768581418579341,0.43691655895659687,0.1,6,,,,0,0,0,1.0,1.0,1.0
5000,3,130,0.14275203577354842,6,0,0.0,0.0,0.28052281763183934,0.2806273854115148,0.1,6,,,,0,0,0,1.0,1.0,1.0
10000,3,313,0.09199872695455544,6,0,0.0,0.0,0.18519495109592404,0.1908182663689958,0.1,6,,,,0,0,0,1.0,1.0,1.0
20000,3,598,0.06655847987246359,6,0,0.0,0.0,0.13646002967632836,0.1466125450339597,0.1,6,,,,0,0,0,1.0,1.0,1.0
50000,3,1462,0.04256771127602566,6,1,0.07336297608483683,0.0,0.07336297608483683,0.08934265394888427,0.026637023915163177,53,,49,53,0,1,1,1.0,0.8689162881245944,0.9990266060999351
500,4,22,0.3470105240265526,6,0,0.0,0.0,0.8660734908985714,0.8660734908985714,0.1,6,,,,0,0,0,1.0,1.0,1.0
1000,4,34,0.2791351498127753,6,0,0.0,0.0,0.643474504920314,0.643474504920314,0.1,6,,,,0,0,0,1.0,1.0,1.0
2000,4,59,0.21189854796992597,6,0,0.0,0.0,0.48670553120635063,0.48670553120635063,0.1,6,,,,0,0,0,1.0,1.0,1.0
5000,4,155,0.13073387603717462,6,0,0.0,0.0,0.2366337378779847,0.2366337378779847,0.1,6,,,,0,0,0,1.0,1.0,1.0
10000,4,309,0.09259227328500041,6,0,0.0,0.0,0.1610453346713384,0.17438587867291994,0.1,6,,,,0,0,0,1.0,1.0,1.0
20000,4,637,0.06448879623860707,6,0,0.0,0.0,0.11708167328516253,0.12634947953669165,0.1,6,,,,0,0,0,1.0,1.0,1.0
50000,4,1549,0.04135502404465549,6,1,0.09591145741151207,0.0,0.09591145741151207,0.10883260092909577,0.0040885425884879395,56,,52,,0,1,0,1.0,0.846307385229541,1.0
500,5,20,0.3639477080072093,3,0,0.0,0.0,0.6918351290499447,0.7455046627844258,0.1,3,,,,0,0,0,1.0,1.0,1.0
1000,5,40,0.25734989232919925,3,0,0.0,0.0,0.5381622178992063,0.5381622178992063,0.1,3,,,,0,0,0,1.0,1.0,1.0
