n_str,support_bin,repetitions,mondrian_finite_rate,certified_finite_rate,certified_class4_coverage,mean_h4,mean_epsilon4
500,n4_le_5,43,0,0,1.0,0,0.0
500,n4_6_10,53,0.2641509433962264,0.2641509433962264,0.977331177977696,0,0.0
500,n4_gt_10,4,1,1,0.9659777433287015,0,0.0
1000,n4_le_5,43,0,0,1.0,0,0.0
1000,n4_6_10,53,0.2641509433962264,0.2641509433962264,0.977331177977696,0,0.0
1000,n4_gt_10,4,1,1,0.9659777433287015,0,0.0
2000,n4_le_5,43,0,0,1.0,0,0.0
2000,n4_6_10,53,0.2641509433962264,0.2641509433962264,0.977331177977696,0,0.0
2000,n4_gt_10,4,1,1,0.9659777433287015,0,0.0
5000,n4_le_5,43,0,0,1.0,0,0.0
5000,n4_6_10,53,0.2641509433962264,0.2641509433962264,0.977331177977696,0,0.0
5000,n4_gt_10,4,1,1,0.9659777433287015,0,0.0
10000,n4_le_5,43,0,0,1.0,0,0.0
10000,n4_6_10,53,0.2641509433962264,0.2641509433962264,0.977331177977696,0,0.0
10000,n4_gt_10,4,1,1,0.9659777433287015,0,0.0
20000,n4_le_5,43,0,0,1.0,0,0.0
20000,n4_6_10,53,0.2641509433962264,0.2641509433962264,0.977331177977696,0,0.0
20000,n4_gt_10,4,1,1,0.9659777433287015,0,0.0
50000,n4_le_5,43,0,0.4883720930232558,0.992808212196559,1.558139534883721,0.08510079988721939
50000,n4_6_10,53,0.2641509433962264,0.4528301886792453,0.9922372477251523,1.490566037735849,0.08076190096398869
50000,n4_gt_10,4,1,0.5,0.9849863970164648,1.25,0.06518684593823133
