n_str,repetition,class_j,class_k,m_j,m_k,true_ks,empirical_ks,dkw_ucb,two_sample_radius,two_sample_direct_ucb,two_sample_path_ucb,two_sample_ucb,ucb_reduction,dkw_covers,two_sample_covers,dkw_all_pairs_cover,two_sample_all_pairs_cover
500,0,0,1,165,123,0.009973297288075951,0.08115299334811532,0.3546212015974265,0.23219776354094288,0.3133507568890582,0.3133507568890582,0.3133507568890582,0.04127044470836827,1,1,1,1
500,0,0,2,165,108,0.019945036390476102,0.06616161616161614,0.34949010085144605,0.24117960965662377,0.3073412258182399,0.6736530006812766,0.3073412258182399,0.042148875033206135,1,1,1,1
500,0,0,3,165,95,0.029913659851819575,0.0861244019138756,0.37982539076052885,0.25083189753866897,0.33695629945254457,1.0,0.33695629945254457,0.042869091307984275,1,1,1,1
500,0,0,4,165,9,0.03987761167674496,0.2121212121212121,0.8813727501614761,0.6379644038568526,0.8500856159780648,1.0,0.8500856159780648,0.031287134183411336,1,1,1,1
500,0,1,2,123,108,0.009973297288075951,0.10320686540198742,0.4065829027397534,0.25709537839023106,0.3603022437922185,0.3603022437922185,0.3603022437922185,0.046280658947534914,1,1,1,1
500,0,1,3,123,95,0.019945036390476102,0.11544715447154474,0.42919569596613405,0.26625533431380327,0.381702488785348,0.7067624868744868,0.381702488785348,0.047493207180786035,1,1,1,1
500,0,1,4,123,9,0.029913659851819575,0.2276422764227642,0.9169413671109643,0.6483989125927923,0.8760411890155564,1.0,0.8760411890155564,0.04090017809540791,1,1,1,1
500,0,2,3,108,95,0.009973297288075951,0.07222222222222219,0.3958310401573303,0.2742380208600461,0.3464602430822683,0.3464602430822683,0.3464602430822683,0.04937079707506198,1,1,1,1
500,0,2,4,108,9,0.019945036390476102,0.1759259259259259,0.8750852930546448,0.6536238887512833,0.8295498146772092,1.0,0.8295498146772092,0.045535478377435545,1,1,1,1
500,0,3,4,95,9,0.009973297288075951,0.19298245614035087,0.9025143274258931,0.659189037397246,0.8521714935375968,0.8521714935375968,0.8521714935375968,0.0503428338882963,1,1,1,1
500,1,0,1,156,117,0.009973297288075951,0.07905982905982911,0.3598478704881738,0.23838972812067674,0.3174495571805058,0.3174495571805058,0.3174495571805058,0.04239831330766797,1,1,1,1
500,1,0,2,156,118,0.019945036390476102,0.06529769665362894,0.3454467803850081,0.23781562571988013,0.3031133223735091,0.6516450815523447,0.3031133223735091,0.042333458011499014,1,1,1,1
500,1,0,3,156,101,0.029913659851819575,0.051980198019802026,0.34424898598103804,0.24885221663670692,0.30083241465650895,0.9836372337537473,0.30083241465650895,0.043416571324529085,1,1,1,1
500,1,0,4,156,8,0.03987761167674496,0.40705128205128205,1.0,0.674568235839479,1.0,1.0,1.0,0.0,1,1,1,1
