n_str,class_j,class_k,true_ks,dkw_pairwise_coverage,two_sample_pairwise_coverage,mean_dkw_ucb,mean_two_sample_ucb,mean_ucb_reduction
500,0,1,0.009973297288075951,1,1,0.3848631018098834,0.34247222649230247,0.042390875317580935
500,0,2,0.019945036390476102,1,1,0.39966032632825643,0.3562593837438252,0.04340094258443125
500,0,3,0.029913659851819575,1,1,0.41548924426906225,0.37144269468707886,0.04404654958198336
500,0,4,0.03987761167674496,1,1,0.8136184660189928,0.7763865978854323,0.03723186813356049
500,1,2,0.009973297288075951,1,1,0.4117643684050486,0.3658961496253665,0.045868218779682106
500,1,3,0.019945036390476102,1,1,0.4306218933267214,0.38384530239752446,0.04677659092919697
500,1,4,0.029913659851819575,1,1,0.8325958272354159,0.7913793399036898,0.041216487331726094
500,2,3,0.009973297288075951,1,1,0.4319436259845963,0.3834850445899361,0.048458581394660166
500,2,4,0.019945036390476102,1,1,0.842694929719794,0.7965681334614448,0.04612679625834909
500,3,4,0.009973297288075951,1,1,0.8355599474784806,0.7877652808658298,0.047794666612650895
1000,0,1,0.009973297288075951,1,1,0.27031668064595654,0.24036758900893873,0.02994909163701783
1000,0,2,0.019945036390476102,1,1,0.2851309087513186,0.25442424659951873,0.030706662151799857
1000,0,3,0.029913659851819575,1,1,0.2972628520192373,0.2660840579393756,0.031178794079861672
1000,0,4,0.03987761167674496,1,1,0.5631020850262148,0.5346144546317062,0.02848763039450859
1000,1,2,0.009973297288075951,1,1,0.2922727864154813,0.25985760004936576,0.03241518636611557
1000,1,3,0.019945036390476102,1,1,0.30468536734648943,0.27163245368516786,0.033052913661321584
1000,1,4,0.029913659851819575,1,1,0.5626869817257618,0.5302361055575789,0.03245087616818292
1000,2,3,0.009973297288075951,1,1,0.309637156018558,0.27529759008025306,0.03433956593830492
1000,2,4,0.019945036390476102,1,1,0.5735684966196058,0.5380142015931834,0.035554295026422524
1000,3,4,0.009973297288075951,1,1,0.5777263874366438,0.5398527506118607,0.037873636824783244
2000,0,1,0.009973297288075951,1,1,0.19032230034661432,0.16915502211033287,0.02116727823628144
2000,0,2,0.019945036390476102,1,1,0.2015625642971945,0.17984447972031242,0.021718084576882086
2000,0,3,0.029913659851819575,1,1,0.2130507015599239,0.19100177781555217,0.022048923744371726
2000,0,4,0.03987761167674496,1,1,0.40995515841497665,0.3896333267830813,0.02032183163189534
2000,1,2,0.009973297288075951,1,1,0.20716561497031274,0.18422525861859168,0.022940356351721057
